TaxonCode;SynonymName;SynonymIsScientificName;SynonymIsPreferredCommonName;SynonymTaxonGroupCode;SynonymTaxonGroupName;PreferredTaxonCode;PreferredTaxonName;PreferredIsScientificName;PreferredIsPreferredCommonName;PreferredTaxonGroupCode;PreferredTaxonGroupName
1120;Avenula;1;0;01;Vaatplanten;1516;Helictotrichon;1;0;01;Vaatplanten
12000;Schermbloemfamilie;0;1;01;Vaatplanten;68;Apiaceae;1;0;01;Vaatplanten
12001;Asterfamilie;0;1;01;Vaatplanten;81;Asteraceae;1;0;01;Vaatplanten
12002;Grassenfamilie;0;1;01;Vaatplanten;286;Poaceae;1;0;01;Vaatplanten
12003;Zilverspar (G);0;1;01;Vaatplanten;1000;Abies;1;0;01;Vaatplanten
12004;Kroesje (G);0;1;04;Korstmossen;1002;Absconditella;1;0;04;Korstmossen
12005;Abutilon (G);0;1;01;Vaatplanten;1003;Abutilon;1;0;01;Vaatplanten
12006;Steenschubje Acarospora (G);0;1;04;Korstmossen;1004;Acarospora;1;0;04;Korstmossen
12007;Knopmos Acaulon (G);0;1;03;Mossen;1005;Acaulon;1;0;03;Mossen
12008;Esdoorn (G);0;1;01;Vaatplanten;1006;Acer;1;0;01;Vaatplanten
12009;Aceras (G);0;1;01;Vaatplanten;1007;Aceras;1;0;01;Vaatplanten
12010;Duizendblad (G);0;1;01;Vaatplanten;1008;Achillea;1;0;01;Vaatplanten
12011;Monnikskap (G);0;1;01;Vaatplanten;1009;Aconitum;1;0;01;Vaatplanten
12012;Acorus (G);0;1;01;Vaatplanten;1010;Acorus;1;0;01;Vaatplanten
12013;Wrat (G);0;1;04;Korstmossen;1012;Acrocordia;1;0;04;Korstmossen
12014;Actaea (G);0;1;01;Vaatplanten;1013;Actaea;1;0;01;Vaatplanten
12015;Venushaar (G);0;1;01;Vaatplanten;1015;Adiantum;1;0;01;Vaatplanten
12016;Adonis (G);0;1;01;Vaatplanten;1016;Adonis;1;0;01;Vaatplanten
12017;Adoxa (G);0;1;01;Vaatplanten;1017;Adoxa;1;0;01;Vaatplanten
12018;Aegopodium (G);0;1;01;Vaatplanten;1018;Aegopodium;1;0;01;Vaatplanten
12019;Paardenkastanje (G);0;1;01;Vaatplanten;1019;Aesculus;1;0;01;Vaatplanten
12020;Aethusa (G);0;1;01;Vaatplanten;1020;Aethusa;1;0;01;Vaatplanten
12021;Haarschubje (G);0;1;04;Korstmossen;1022;Agonimia;1;0;04;Korstmossen
12022;Agrimonie (G);0;1;01;Vaatplanten;1023;Agrimonia;1;0;01;Vaatplanten
12023;Agrostemma (G);0;1;01;Vaatplanten;1024;Agrostemma;1;0;01;Vaatplanten
12024;Struisgras (G);0;1;01;Vaatplanten;1025;Agrostis;1;0;01;Vaatplanten
12025;Ailanthus (G);0;1;01;Vaatplanten;1026;Ailanthus;1;0;01;Vaatplanten
12026;Dwerghaver (G);0;1;01;Vaatplanten;1027;Aira;1;0;01;Vaatplanten
12027;Zenegroen (G);0;1;01;Vaatplanten;1028;Ajuga;1;0;01;Vaatplanten
12028;Alcea (G);0;1;01;Vaatplanten;1029;Alcea;1;0;01;Vaatplanten
12029;Vrouwenmantel (G);0;1;01;Vaatplanten;1030;Alchemilla;1;0;01;Vaatplanten
12030;Waterweegbree (G);0;1;01;Vaatplanten;1032;Alisma;1;0;01;Vaatplanten
12031;Alliaria (G);0;1;01;Vaatplanten;1033;Alliaria;1;0;01;Vaatplanten
12032;Look (G);0;1;01;Vaatplanten;1034;Allium;1;0;01;Vaatplanten
12033;Els (G);0;1;01;Vaatplanten;1035;Alnus;1;0;01;Vaatplanten
12034;Aloëmos (G);0;1;03;Mossen;1036;Aloina;1;0;03;Mossen
12035;Vossenstaart (G);0;1;01;Vaatplanten;1037;Alopecurus;1;0;01;Vaatplanten
12036;Heemst (G);0;1;01;Vaatplanten;1038;Althaea;1;0;01;Vaatplanten
12037;Schildzaad (G);0;1;01;Vaatplanten;1039;Alyssum;1;0;01;Vaatplanten
12038;Vliegenstrontjesmos (G);0;1;04;Korstmossen;1040;Amandinea;1;0;04;Korstmossen
12039;Amarant (G);0;1;01;Vaatplanten;1041;Amaranthus;1;0;01;Vaatplanten
12040;Stomptandmos (G);0;1;03;Mossen;1042;Amblyodon;1;0;03;Mossen
12041;Pluisdraadmos (G);0;1;03;Mossen;1043;Amblystegium;1;0;03;Mossen
12042;Ambrosia (G);0;1;01;Vaatplanten;1044;Ambrosia;1;0;01;Vaatplanten
12043;Krentenboompje (G);0;1;01;Vaatplanten;1045;Amelanchier;1;0;01;Vaatplanten
12044;Akkerscherm (G);0;1;01;Vaatplanten;1046;Ammi;1;0;01;Vaatplanten
12045;Ammophila (G);0;1;01;Vaatplanten;1047;Ammophila;1;0;01;Vaatplanten
12046;Amsinckia (G);0;1;01;Vaatplanten;1048;Amsinckia;1;0;01;Vaatplanten
12047;Anacamptis (G);0;1;01;Vaatplanten;1050;Anacamptis;1;0;01;Vaatplanten
12048;Guichelheil (G);0;1;01;Vaatplanten;1051;Anagallis;1;0;01;Vaatplanten
12049;Anaphalis (G);0;1;01;Vaatplanten;1052;Anaphalis;1;0;01;Vaatplanten
12050;Wimpermos (G);0;1;04;Korstmossen;1053;Anaptychia;1;0;04;Korstmossen
12051;Kielmos (G);0;1;03;Mossen;1054;Anastrophyllum;1;0;03;Mossen
12052;Ossentong (G);0;1;01;Vaatplanten;1055;Anchusa;1;0;01;Vaatplanten
12053;Hunebedmos (G);0;1;03;Mossen;1056;Andreaea;1;0;03;Mossen
12054;Andromeda (G);0;1;01;Vaatplanten;1057;Andromeda;1;0;01;Vaatplanten
12055;Anemoon (G);0;1;01;Vaatplanten;1058;Anemone;1;0;01;Vaatplanten
12056;Anethum (G);0;1;01;Vaatplanten;1059;Anethum;1;0;01;Vaatplanten
12057;Vetmos (G);0;1;03;Mossen;1060;Aneura;1;0;03;Mossen
12058;Engelwortel (G);0;1;01;Vaatplanten;1061;Angelica;1;0;01;Vaatplanten
12059;Waaierdravik (G);0;1;01;Vaatplanten;1062;Anisantha;1;0;01;Vaatplanten
12060;Sporenkorst (G);0;1;04;Korstmossen;1063;Anisomeridium;1;0;04;Korstmossen
12061;Anoda (G);0;1;01;Vaatplanten;1064;Anoda;1;0;01;Vaatplanten
12062;Touwtjesmos (G);0;1;03;Mossen;1065;Anomodon;1;0;03;Mossen
12063;Antennaria (G);0;1;01;Vaatplanten;1066;Antennaria;1;0;01;Vaatplanten
12064;Schubkamille (G);0;1;01;Vaatplanten;1068;Anthemis;1;0;01;Vaatplanten
12065;Graslelie (G);0;1;01;Vaatplanten;1069;Anthericum;1;0;01;Vaatplanten
12066;Hauwmos p.p. Anthoceros (G);0;1;03;Mossen;1070;Anthoceros;1;0;03;Mossen
12067;Reukgras (G);0;1;01;Vaatplanten;1071;Anthoxanthum;1;0;01;Vaatplanten
12068;Kervel (G);0;1;01;Vaatplanten;1072;Anthriscus;1;0;01;Vaatplanten
12069;Anthyllis (G);0;1;01;Vaatplanten;1073;Anthyllis;1;0;01;Vaatplanten
12070;Leeuwenbek (G);0;1;01;Vaatplanten;1074;Antirrhinum;1;0;01;Vaatplanten
12071;Weerhaakmos (G);0;1;03;Mossen;1075;Antitrichia;1;0;03;Mossen
12072;Windhalm (G);0;1;01;Vaatplanten;1076;Apera;1;0;01;Vaatplanten
12073;Leeuwenklauw (G);0;1;01;Vaatplanten;1077;Aphanes;1;0;01;Vaatplanten
12074;Moerasscherm (G);0;1;01;Vaatplanten;1078;Apium;1;0;01;Vaatplanten
12075;Akelei (G);0;1;01;Vaatplanten;1079;Aquilegia;1;0;01;Vaatplanten
12076;Arabidopsis (G);0;1;01;Vaatplanten;1080;Arabidopsis;1;0;01;Vaatplanten
12077;Scheefkelk (G);0;1;01;Vaatplanten;1081;Arabis;1;0;01;Vaatplanten
12078;Oermos (G);0;1;03;Mossen;1083;Archidium;1;0;03;Mossen
12079;Klit (G);0;1;01;Vaatplanten;1084;Arctium;1;0;01;Vaatplanten
12080;Arctostaphylos (G);0;1;01;Vaatplanten;1085;Arctostaphylos;1;0;01;Vaatplanten
12081;Zandmuur (G);0;1;01;Vaatplanten;1086;Arenaria;1;0;01;Vaatplanten
12082;Aristolochia (G);0;1;01;Vaatplanten;1087;Aristolochia;1;0;01;Vaatplanten
12083;Armeria (G);0;1;01;Vaatplanten;1088;Armeria;1;0;01;Vaatplanten
12084;Armoracia (G);0;1;01;Vaatplanten;1089;Armoracia;1;0;01;Vaatplanten
12085;Arnica (G);0;1;01;Vaatplanten;1090;Arnica;1;0;01;Vaatplanten
12086;Arnoseris (G);0;1;01;Vaatplanten;1091;Arnoseris;1;0;01;Vaatplanten
12087;Appelbes (G);0;1;01;Vaatplanten;1092;Aronia;1;0;01;Vaatplanten
12088;Arrhenatherum (G);0;1;01;Vaatplanten;1093;Arrhenatherum;1;0;01;Vaatplanten
12089;Alsem (G);0;1;01;Vaatplanten;1094;Artemisia;1;0;01;Vaatplanten
12090;Vlekje (G);0;1;04;Korstmossen;1095;Arthonia;1;0;04;Korstmossen
12091;Stipjes (G);0;1;04;Korstmossen;1096;Arthopyrenia;1;0;04;Korstmossen
12092;Kleine runenkorst (G);0;1;04;Korstmossen;1097;Arthothelium;1;0;04;Korstmossen
12093;Gele heikorst (G);0;1;04;Korstmossen;1098;Arthrorhaphis;1;0;04;Korstmossen
12094;Aronskelk (G);0;1;01;Vaatplanten;1099;Arum;1;0;01;Vaatplanten
12095;Aruncus (G);0;1;01;Vaatplanten;1100;Aruncus;1;0;01;Vaatplanten
12096;Arundinaria (G);0;1;01;Vaatplanten;1101;Arundinaria;1;0;01;Vaatplanten
12097;Asarum (G);0;1;01;Vaatplanten;1102;Asarum;1;0;01;Vaatplanten
12098;Asclepias (G);0;1;01;Vaatplanten;1103;Asclepias;1;0;01;Vaatplanten
12099;Asperge (G);0;1;01;Vaatplanten;1104;Asparagus;1;0;01;Vaatplanten
12100;Asperugo (G);0;1;01;Vaatplanten;1105;Asperugo;1;0;01;Vaatplanten
12101;Bedstro (G);0;1;01;Vaatplanten;1106;Asperula;1;0;01;Vaatplanten
12102;Dambordje (G);0;1;04;Korstmossen;1107;Aspicilia;1;0;04;Korstmossen
12103;Streepvaren (G);0;1;01;Vaatplanten;1109;Asplenium;1;0;01;Vaatplanten
12104;Aster (G);0;1;01;Vaatplanten;1110;Aster;1;0;01;Vaatplanten
12105;Hokjespeul (G);0;1;01;Vaatplanten;1111;Astragalus;1;0;01;Vaatplanten
12106;Vliesje (G);0;1;04;Korstmossen;1112;Athelia;1;0;04;Korstmossen
12107;Athyrium (G);0;1;01;Vaatplanten;1113;Athyrium;1;0;01;Vaatplanten
12108;Rimpelmos (G);0;1;03;Mossen;1114;Atrichum;1;0;03;Mossen
12109;Melde (G);0;1;01;Vaatplanten;1115;Atriplex;1;0;01;Vaatplanten
12110;Atropa (G);0;1;01;Vaatplanten;1116;Atropa;1;0;01;Vaatplanten
12111;Aubrieta (G);0;1;01;Vaatplanten;1117;Aubrieta;1;0;01;Vaatplanten
12112;Knopjesmos (G);0;1;03;Mossen;1118;Aulacomnium;1;0;03;Mossen
12113;Haver (G);0;1;01;Vaatplanten;1119;Avena;1;0;01;Vaatplanten
12115;Axyris (G);0;1;01;Vaatplanten;1121;Axyris;1;0;01;Vaatplanten
12116;Kroosvaren (G);0;1;01;Vaatplanten;1122;Azolla;1;0;01;Vaatplanten
12117;Baccharis (G);0;1;01;Vaatplanten;1123;Baccharis;1;0;01;Vaatplanten
12118;Knoopjeskorst (G);0;1;04;Korstmossen;1125;Bacidia;1;0;04;Korstmossen
12119;Heikorst (G);0;1;04;Korstmossen;1126;Baeomyces;1;0;04;Korstmossen
12120;Sterretjeskorst (G);0;1;04;Korstmossen;1127;Bagliettoa;1;0;04;Korstmossen
12121;Moerasweegbree (G);0;1;01;Vaatplanten;1128;Baldellia;1;0;01;Vaatplanten
12122;Ballote (G);0;1;01;Vaatplanten;1129;Ballota;1;0;01;Vaatplanten
12123;Balsamita (G);0;1;01;Vaatplanten;1130;Balsamita;1;0;01;Vaatplanten
12124;Barbarakruid (G);0;1;01;Vaatplanten;1131;Barbarea;1;0;01;Vaatplanten
12125;Tandmos (G);0;1;03;Mossen;1132;Barbilophozia;1;0;03;Mossen
12126;Smaragdsteeltje p.p. Barbula (G);0;1;03;Mossen;1133;Barbula;1;0;03;Mossen
12127;Appelmos (G);0;1;03;Mossen;1134;Bartramia;1;0;03;Mossen
12128;Bassia (G);0;1;01;Vaatplanten;1135;Bassia;1;0;01;Vaatplanten
12129;Zweepmos (G);0;1;03;Mossen;1136;Bazzania;1;0;03;Mossen
12130;Bellis (G);0;1;01;Vaatplanten;1138;Bellis;1;0;01;Vaatplanten
12131;Berberis (G);0;1;01;Vaatplanten;1139;Berberis;1;0;01;Vaatplanten
12132;Berteroa (G);0;1;01;Vaatplanten;1140;Berteroa;1;0;01;Vaatplanten
12133;Berula (G);0;1;01;Vaatplanten;1141;Berula;1;0;01;Vaatplanten
12134;Beta (G);0;1;01;Vaatplanten;1142;Beta;1;0;01;Vaatplanten
12135;Berk (G);0;1;01;Vaatplanten;1143;Betula;1;0;01;Vaatplanten
