VegClas;GUID;Code;ShortScientificName;LongScientificName;ShortCommonName;LongCommonName;Description;Parent;Quality;IsCurrent;Created;CreatedBy;Modified;ModifiedBy
RVVN Nationale Vegetatie typologie;823E880E-3AF6-E911-910D-0050568D094E;r01;Lemnetea minoris;Lemnetea minoris;Eendenkroos-klasse;Eendenkroos-klasse;NULL;NULL;NULL;1;2019-10-24 10:41:23.383;FAB;2019-10-24 10:41:23.383;FAB
RVVN Nationale Vegetatie typologie;833E880E-3AF6-E911-910D-0050568D094E;r01A;Lemnetalia minoris;Lemnetalia minoris;Eendenkroos-orde;Eendenkroos-orde;NULL;823E880E-3AF6-E911-910D-0050568D094E;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
RVVN Nationale Vegetatie typologie;843E880E-3AF6-E911-910D-0050568D094E;r01Aa;Lemnion minoris;Lemnion minoris;Bultkroos-verbond;Bultkroos-verbond;NULL;833E880E-3AF6-E911-910D-0050568D094E;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
RVVN Nationale Vegetatie typologie;853E880E-3AF6-E911-910D-0050568D094E;r01Aa01;Wolffio-Lemnetum gibbae;Wolffio-Lemnetum gibbae;Associatie van Bultkroos en Wortelloos kroos;Associatie van Bultkroos en Wortelloos kroos;NULL;NULL;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
RVVN Nationale Vegetatie typologie;863E880E-3AF6-E911-910D-0050568D094E;r01Aa01a;Wolffio-Lemnetum typicum;Wolffio-Lemnetum typicum;"Associatie van Bultkroos en Wortelloos kroos; typische subassociatie";"Associatie van Bultkroos en Wortelloos kroos; typische subassociatie";NULL;853E880E-3AF6-E911-910D-0050568D094E;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
RVVN Nationale Vegetatie typologie;873E880E-3AF6-E911-910D-0050568D094E;r01Aa01b;Wolffio-Lemnetum azolletosum filiculoidis;Wolffio-Lemnetum azolletosum filiculoidis;"Associatie van Bultkroos en Wortelloos kroos; subassociatie met Grote kroosvaren";"Associatie van Bultkroos en Wortelloos kroos; subassociatie met Grote kroosvaren";NULL;853E880E-3AF6-E911-910D-0050568D094E;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
RVVN Nationale Vegetatie typologie;883E880E-3AF6-E911-910D-0050568D094E;r01Aa02;Lemno-Spirodeletum polyrhizae;Lemno-Spirodeletum polyrhizae;Associatie van Veelwortelig kroos;Associatie van Veelwortelig kroos;NULL;NULL;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
RVVN Nationale Vegetatie typologie;893E880E-3AF6-E911-910D-0050568D094E;r01Aa02a;Lemno-Spirodeletum typicum;Lemno-Spirodeletum typicum;"Associatie van Veelwortelig kroos; typische subassociatie";"Associatie van Veelwortelig kroos; typische subassociatie";NULL;883E880E-3AF6-E911-910D-0050568D094E;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
RVVN Nationale Vegetatie typologie;8A3E880E-3AF6-E911-910D-0050568D094E;r01Aa02b;Lemno-Spirodeletum azolletosum carolinianae;Lemno-Spirodeletum azolletosum carolinianae;"Associatie van Veelwortelig kroos; subassociatie met Kleine kroosvaren";"Associatie van Veelwortelig kroos; subassociatie met Kleine kroosvaren";NULL;883E880E-3AF6-E911-910D-0050568D094E;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
RVVN Nationale Vegetatie typologie;8B3E880E-3AF6-E911-910D-0050568D094E;r01Ab;Lemnion trisulcae;Lemnion trisulcae;Puntkroos-verbond;Puntkroos-verbond;NULL;833E880E-3AF6-E911-910D-0050568D094E;NULL;1;2019-10-24 10:41:23.400;FAB;2019-10-24 10:41:23.400;FAB
