syntaxon_code,syntaxon_kind,syntaxon_scientificname,taxon_scientificname,diagnostic_value,diagnostic_value2,syndif_description,diagnostic_uncertain,formation,taxon_remark,diagnostic_remark,note1,note2,note3,note4,note5,syntaxon_vernacularname,taxon_vernacularname,taxon_originalname,taxon_corrected,rownr
01,klasse,Lemnetea minoris,Lemna minor,kk,kk,,Nee,WATVEN,,,,,,,,EENDEKROOS-KLASSE,Klein kroos,Lemna minor,Lemna minor,7
01,klasse,Lemnetea minoris,Lemna trisulca,tk,tk-tv-ta,,Nee,WATVEN,,,,,,,,EENDEKROOS-KLASSE,Puntkroos,Lemna trisulca,Lemna trisulca,8
01,klasse,Lemnetea minoris,Spirodela polyrhiza,tk,tk-ta,,Nee,WATVEN,,,,,,,,EENDEKROOS-KLASSE,Veelwortelig kroos,Spirodela polyrhiza,Spirodela polyrhiza,9
01,klasse,Lemnetea minoris,Wolffia arrhiza,tk,tk-ta,,Nee,WATVEN,,,,,,,,EENDEKROOS-KLASSE,Wortelloos kroos,Wolffia arrhiza,Wolffia arrhiza,10
02,klasse,Ruppietea,Ruppia cirrhosa,tk,tk-tv-ta,,Nee,WATVEN,,,,,,,,RUPPIA-KLASSE,Spiraalruppia ,Ruppia cirrhosa,Ruppia cirrhosa,46
02,klasse,Ruppietea,Ruppia maritima,tk,tk-tv-ta,,Nee,WATVEN,,,,,,,,RUPPIA-KLASSE,Snavelruppia,Ruppia maritima,Ruppia maritima,47
03,klasse,Zosteretea,Zostera noltii,tk,tk-tv-ta,,Nee,WATVEN,,,,,,,,ZEEGRAS-KLASSE,Klein zeegras,Zostera noltii,Zostera noltii,65
03,klasse,Zosteretea,Zostera marina,tk,tk-tv-ta,,Nee,WATVEN,,,,,,,,ZEEGRAS-KLASSE,Groot zeegras,Zostera marina,Zostera marina,66
04,klasse,Charetea fragilis,Chara globularis,kk,kk,,Nee,WATVEN,,,,,,,,KRANSWIEREN-KLASSE,Breekbaar kransblad,Chara globularis,Chara globularis,79
04,klasse,Charetea fragilis,Nitella opaca,kk,(),,Ja,WATVEN,,,,,,,,KRANSWIEREN-KLASSE,(Donker glanswier),(Nitella opaca),Nitella opaca,80
05,klasse,Potametea,Potamogeton crispus,kk,kk,,Nee,WATVEN,,,,,,,,FONTEINKRUID-KLASSE,Gekroesd fonteinkruid,Potamogeton crispus,Potamogeton crispus,145
05,klasse,Potametea,Potamogeton pusillus,tk,tk-tv,,Nee,WATVEN,,,,,,,,FONTEINKRUID-KLASSE,Tenger fonteinkruid,Potamogeton pusillus,Potamogeton pusillus,146
06,klasse,Littorelletea,Echinodorus ranunculoides,kk,kk,,Nee,WATVEN,,,,,,,,OEVERKRUID-KLASSE,Stijve moerasweegbree,Echinodorus ranunculoides,Echinodorus ranunculoides,370
06,klasse,Littorelletea,Juncus bulbosus,kk,kk,,Nee,WATVEN,,,,,,,,OEVERKRUID-KLASSE,Knolrus ,Juncus bulbosus,Juncus bulbosus,371
