code_sbb,sbb_wetnaam,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,vvn_wetnaam,code_vvn_1998,code_veldgids_2015,vvbh,kov_codes,kov_verbonden,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_rvvn_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
01,Lemnetea minoris,1998,,r01,Lemnetea minoris,01,,,,,EENDEKROOS-KLASSE,Lemnetea minoris,Lemnetea minoris,,,,,
01A,Lemnion minoris,1998,,r01Aa,Lemnion minoris,01Aa,,,,,Bultkroos-verbond,Lemnion minoris,Lemnion minoris,,,,,
01A1,Wolffio-Lemnetum gibbae,1998,,r01Aa01,Wolffio-Lemnetum gibbae,01Aa01,,5,,,Associatie van Bultkroos en Wortelloos kroos,Wolffio-Lemnetum gibbae,Wolffio-Lemnetum gibbae,,,,,
01A2,Lemno-Spirodeletum polyrhizae,1998,,r01Aa02,Lemno-Spirodeletum polyrhizae,01Aa02,,5,,,Associatie van Veelwortelig kroos,Lemno-Spirodeletum polyrhizae,Lemno-Spirodeletum polyrhizae,,,,,
01B,Lemnion trisulcae,1998,,r01Ab,Lemnion trisulcae,01Ab,,,,,Puntkroos-verbond,Lemnion trisulcae,Lemnion trisulcae,,,,,
01B1,Riccietum fluitantis,1998,,r01Ab01,Riccietum fluitantis,01Ab01,,,,,Watervorkjes-associatie,Riccietum fluitantis,Riccietum fluitantis,,,,,
01B1a,Riccietum fluitantis typicum,2000,,r01Ab01a,Riccietum fluitantis typicum,01Ab01a,,4,,,"Watervorkjes-associatie, typische subassociatie",Riccietum fluitantis typicum,Riccietum fluitantis typicum,,,,,
01B1b,Riccietum fluitantis inops,2000,,r01RG01,RG Lemna trisulca-[Lemnion trisulcae],01RG02,01RG01,4,,,"Watervorkjes-associatie, soortenarme subassoc.",Riccietum fluitantis inops,Riccietum fluitantis inops,,,,,
01B-a,RG Lemna trisulca,1998,2000,,,,,,,,,RG Lemna trisulca,,,,,,
01-a,RG Lemna minor-[Lemnetea minoris],1998,,r01RG02,RG Lemna minor-[Lemnetea minoris],01RG01,01RG02,5,,,RG Klein kroos-[Eendekroos-klasse],RG Lemna minor-[Lemnetea minoris],RG Lemna minor-[Lemnetea minoris],,,,,
