code_sbb,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,code_vvn_1998,code_veldgids_2015,sbb_in_rvvn,kov_codes,kov_verbonden,vvbh,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
01,1998,,r01,01,,ja,,,,EENDEKROOS-KLASSE,Lemnetea minoris,Lemnetea minoris,,,,
01A,1998,,r01Aa,01Aa,,ja,,,,Bultkroos-verbond,Lemnion minoris,Lemnion minoris,,,,
01A1,1998,,r01Aa01,01Aa01,,ja,,,5,Associatie van Bultkroos en Wortelloos kroos,Wolffio-Lemnetum gibbae,Wolffio-Lemnetum gibbae,,,,
01A2,1998,,r01Aa02,01Aa02,,ja,,,5,Associatie van Veelwortelig kroos,Lemno-Spirodeletum polyrhizae,Lemno-Spirodeletum polyrhizae,,,,
01B,1998,,r01Ab,01Ab,,ja,,,,Puntkroos-verbond,Lemnion trisulcae,Lemnion trisulcae,,,,
01B1,1998,,r01Ab01,01Ab01,,ja,,,,Watervorkjes-associatie,Riccietum fluitantis,Riccietum fluitantis,,,,
01B1a,2000,,r01Ab01a,01Ab01a,,ja,,,4,"Watervorkjes-associatie, typische subassociatie",Riccietum fluitantis typicum,Riccietum fluitantis typicum,,,,
01B1b,2000,,r01RG01,01RG02,01RG01,ja,,,4,"Watervorkjes-associatie, soortenarme subassoc.",Riccietum fluitantis inops,Riccietum fluitantis inops,,,,
01B-a,1998,2000,,,,ja,,,,,RG Lemna trisulca,,,,,
01-a,1998,,r01RG02,01RG01,01RG02,ja,,,5,RG Klein kroos-[Eendekroos-klasse],RG Lemna minor-[Lemnetea minoris],RG Lemna minor-[Lemnetea minoris],,,,
01-b,2000,,r05RG02,,05RG02,ja,"01-b,05-g",05-g,5,RG Kikkerbeet-[Eendekroos-kl./Fonteinkruid-kl.],RG Hydrocharis morsus-ranae-[Lemnetea/Potametea],RG Hydrocharis morsus-ranae-[Lemnetea minoris/Potametea],,,,
01-c,2018,,r01RG03,,01RG03,ja,,,,,,,2018 nieuw,Mogelijk ook: Landoltia punctata; Lemna turionifera,,
01-d,2018,,r05RG16,,05RG16,ja,,,,,,,2018 naam aangepast verbonden met lemnetea,,,
,,,r01Aa01a,,,ja,,,,,,,niet in SBB-typologie,,,
,,,r01Aa01b,,,ja,,,,,,,niet in SBB-typologie,,,
,,,r01Aa02a,,,ja,,,,,,,niet in SBB-typologie,,,
,,,r01Aa02b,,,ja,,,,,,,niet in SBB-typologie,,,
,,,r01Ab01b,,,ja,,,,,,,niet in SBB-typologie,,,
02,1998,,r02,02,,ja,,,,RUPPIA-KLASSE,Ruppietea,Ruppietea,,,,
02A,1998,,r02Aa,02Aa,,ja,,,,Ruppia-verbond,Ruppion maritimae,Ruppion maritimae,,,,
02A1,1998,,r02Aa01,02Aa01,,ja,,,1,Associatie van Snavelruppia,Ruppietum maritimae,Ruppietum maritimae,,,,
02A2,1998,,r02Aa02,02Aa02,,ja,,,1,Associatie van Spiraalruppia,Ruppietum cirrhosae,Ruppietum cirrhosae,,,,
03,1998,,r03,03,,ja,,,,ZEEGRAS-KLASSE,Zosteretea,Zosteretea,,,,
03A,1998,,r03Aa,03Aa,,ja,,,,Zeegras-verbond,Zosterion,Zosterion,,,,
03A1,1998,,r03Aa01,03Aa01,,ja,,,1,Associatie van Klein zeegras,Zosteretum noltii,Zosteretum noltii,,,,
03A2,1998,,r03Aa02,03Aa02,,ja,,,1,Associatie van Groot zeegras,Zosteretum marinae,Zosteretum marinae,,,,
04,1998,,r04,04,,ja,,,,KRANSWIEREN-KLASSE,Charetea fragilis,Charetea fragilis,,,,
04A,1998,,r04Aa,04Aa,,ja,,,,Glanswier-verbond,Nitellion flexilis,Nitellion flexilis,,,,
