SPECIES_NR,FAMILIE,GENUS,SOORT,SYST_NIV,STLYST90,FLORA_90,STATUS,UHOKN50,UHOKN80,HERKMST1,HERKMST2,HERKMST3,UFK_40,UFK_90,UHOKV50,UHOKV80,LV_DUUR,LV_VORM1,LV_VORM2,LV_VORM3,GR_VORM1,GR_VORM2,GR_VORM3,ANAT_BLD,GRN_BLD,VORM_BLD,HGT_MIN,HGT_MAX,HGT_EXTR,GESL_BLM,BLMKLEUR,VR_TYPE,VR_KLEUR,ZAADMORF,WRTLDIEP,KIEMTIJD,BGNBLOEI,ENDBLOEI,GRONDWTR,LICHTIND,TEMPTIND,CONTIIND,VOCHTIND,ZUURGIND,STIKSIND,ZOUT_IND,ZWAREIND,MAAI_IND,STRO_MIN,STRO_MAX,STRO_EXT,OECO_GRP,ECOL_GRP,TRANSGR,WESTHOFF,ELLENBRG,ECOTP_01,ECOTP_02,ECOTP_03,ECOTP_04,ECOTP_05,ECOTP_06,ECOTP_07,ECOTP_08,ECOTP_09,ECOTP_10,SG_VOCHT,SG_TROFIE,SG_ZUURG,SG_ZOUT,ECOTPAMP,GEBRUIK1,GEBRUIK2,GEBRUIK3,GEBRUIK4,WETT_BES,REDLIST1,REDLIST2,BESTUIV1,BESTUIV2,BESTUIV3,ZBESTUIV,PLG_LIGG,PLG_NORD,PLG_WEST,PLG_MIDD,PLG_OOST,PLG_Z_O,PLG_ZUID,PLG_FRYK,PLG_AMER,PLG_EURO,PLG_AZIE,PLG_BRON,PLG_NOOT,PLG_MONT,R_SALINIT,R_ALKALIN,R_DOM_ANIO,R_CARBOGEH,R_TROFIEGR,IVERSEN,SKLEROTYP,SOCIO_HDB,SOCIO_ISZ,HOOFD_ISZ,OVERSPOEL,MAAI_IBN,TYPE,SOCSRTGRP1,SOCSRTGRP2,SOCSRTGRP3,SOC_GRP_ND,SOC_GRP_DG,RL2000LANG,RL2000KORT,RL2000_ZK,RL2000_TK,FF_WET,WW_C_N,WW_CA,WW_CL,WW_GHG,WW_GLG,WW_GVG,WW_K,WW_MG,WW_NH4,WW_NO3,WW_NTOT,WW_PH_H2O,WW_PO4,WW_PTOT,WW_VOCHT
1,60,1,4,2,1,1,19,,,1,,,5,7,127,690,7,P,,,73,83,,40,S,ha,30,1800,,A,F:V,41,o,9,,12,5,6,A,5,6,4,5,7,6,0,0,,9,9,9,94,909,0,34A,84000,H43,H47,H69,,,,,,,,4,2,5,1,1,30,,,,0,,,I,W,,,s,0,3,3,2,2,1,A,.,*,*,13,EI,mo,,,,,,,,,,,,2,H,B43A,S37A,,B,B,,,,,,17.9747,452.652,19.7119,78.5686,138.466,101.009,71.6974,74.7717,7.46254,34.7108,1970.25,5.57045,0.31,392.070,19.7952
2,60,1,2,2,1,1,39,,,103,208,,6,9,324,1251,7,P,,,83,,,40,S,ha,,2500,,D,V:F,41,o,9,,13,4,6,A,4,,4,6,,7,0,0,,9,9,9,93,906,,,84300,H47,H43,H42,H69,H63,H62,,,,,4,2,4,1,2,24,30,,,0,,,I,W,,,m,0,1,3,+,1,+,A,.,*,.,1,E,mo,,,,,,,,,,,,2,H,B43A,,,B,B,,,,,,20.0989,207.398,17.4801,90.7422,158.846,103.693,49.0710,42.0574,9.98895,25.7368,1790.91,4.78120,0.23,395.300,14.0667
3,132,14,1,2,1,1,1,9,6,1,,,2,1,,,6,G,,,64,,,40,S,lc,10,40,,C,V,43,o,11,,,5,6,A,7,7,2,4,8,3,0,0,,9,9,9,83,803,0,34Ab04,53213,G43,H43,,,,,,,,,3,1,5,1,1,99,,,,1,+,1,ID,IH,,,m,0,2,1,0,0,3,A,.,*,.,1,M,mo,,,,,,,,,,,,,H,G15AA01,,,Gk,Gf,KW-5,KW,zzz,t,2,,,,,,,,,,,,,,,
4,113,23,2,2,1,1,1,1719,1592,1,,,9,9,,,6,H,,,65,,,45,W,ve,15,50,,D,A-R,32,o,1,24,42/12,6,11,A,8,,,4,,5,1,0,7,9,9,9,51,612,,,54200,G67,G47,,,,,,,,,4,3,0,1,1,16,,,,0,,,I,,,Z,c,4,4,4,4,2,1,A,.,*,*,35,A,al,,,,,,,,,,,,7,H,G16B,,,Gk,Ga,,,,,,10.4141,881.140,15.1803,46.1026,106.723,56.1610,85.0521,65.0847,3.52173,2.56406,1324.02,6.49377,2.65,214.889,19.8909
5,113,23,1,2,1,1,1,937,984,1,,,8,8,,,6,H,,,65,,,24,S,ve,30,90,,D,A,32,o,1,44,12,7,9,F,8,6,3,8,4,2,0,0,4,9,9,9,52,615,0,25A,54100,G27,R27,G47,R47,,,,,,,2,3,0,1,1,99,,,,0,,,ID,IH,,,c,3,4,4,4,1,+,A,.,*,*,3,B,mo,,,,,,,,,,,,4,H,G16AA01,,,Gm,Gm,,,,,,13.2221,4442.37,30.4986,-0.9186,48.8401,18.9578,159.814,242.820,6.75416,3.15044,6187.92,5.84273,0.57,536.057,48.5347
6,40,6,1,2,1,1,1,5,3,1,,,2,1,,,6,H,,,64,,,34,S,hs,50,125,,C,F,43,o,9,,12   ?,6,8,F,3,4,4,7,7,8,0,0,,9,9,9,91,907,,,84300,H43,,,,,,,,,,3,1,5,1,1,99,,,,0,+c,1,IH,,,,m,0,+,2,0,+,+,A,.,*,.,12,HM,sa,,,,,,,,,,,,,H,B43AA04,,,B,B,KW-5,KW,zzz,t,,,,,,,,,,,,,,,,
7,127,1,1,2,1,1,3,489,795,209,,,7,8,,,6,B,,,64,,,20,S,zw,60,120,,C,V,51,z,4,,,6,7,W,8,6,5,10,7,7,0,0,,1,2,3,43,502,0,19Ba,15100,V18,,,,,,,,,,1,5,0,1,1,16,14,,,0,,,N,,,,b,0,2,4,3,2,+,C,.,.,*,35,E,sm,5,5,1,,,,,,,,,5,H,M08BA,,,Mp,Gm,,,,,,14.6261,6159.97,458.769,-21.311,16.2801,2.18788,323.266,646.611,10.6250,37.3938,10992.1,6.07945,0.61,1256.08,57.5042
8,40,4,1,2,1,1,1,16,9,1,,,3,3,,,6,H,,,64,,,30,S,vs,30,60,,C,O,51,n,4,33,12,5,6,A,3,5,4,5,6,7,0,0,,9,9,9,94,909,2,38Ab01,84300,H43,,,,,,,,,,3,1,5,1,1,99,,,,0,,3,IC,ID,,,m,3,1,4,4,1,+,A,.,*,.,1235,AHM,mo,,,,,,,,,,,,2,H,B43AB01,S37AC05,,B,B,KW-5,KW,zzz,t,,19.7027,405.065,17.1444,108.945,152.465,98.9257,64.8736,75.2602,8.38968,47.7005,1889.45,5.36120,0.14,431.673,19.1096
9,40,11,1,2,1,1,17,1,0,2,,,0,0,,,6,H,,,65,,,40,V,vs,15,50,,C,F,32,o,,,,4,6,A,7,6,7,3,7,2,0,0,,9,9,9,62,,,,53100,99,,,,,,,,,,,,,,,16,,,,1,+,0,I1,,,Z,v,0,+,2,3,2,+,A,.,*,*,123,KLM,mo,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
10,109,1,1,2,1,1,1,154,146,1,,,5,5,,,6,G,,,64,,,30,V,vs,5,15,,C,V,52,v,1,11,12,4,5,P,5,,5,6,7,8,0,0,,9,9,9,92,907,0,38A,84300,H43,H47,H42,,,,,,,,3,2,4,1,1,99,,,,0,,,ID,,,Z,c,2,3,4,4,1,1,A,*,*,*,35,X,mo,,,,,,,,,,,,5,H,B43AB01,,,B,B,,,,,,20.0740,523.634,20.0683,88.3716,141.400,90.3908,73.0982,79.4768,8.83009,39.8092,2374.56,5.15626,0.16,484.312,22.4877
