syntaxon,total_nr_of_observations,total_nr_of_releves,total_nr_of_species,mean_nr_of_species,stdev_nr_of_species,mean_nr_of_species_vasc,stdev_nr_of_species_vasc,mean_area,stdev_area,mean_cover_total,stdev_cover_total,mean_cover_trees,stdev_cover_trees,mean_cover_shrubs,stdev_cover_shrubs,mean_cover_herbs,stdev_cover_herbs,mean_cover_mosses,stdev_cover_mosses,mean_height_herbs,stdev_height_herbs,mean_ell_nitrogen,stdev_ell_nitrogen,perc5_ell_nitrogen,perc25_ell_nitrogen,perc50_ell_nitrogen,perc75_ell_nitrogen,perc95_ell_nitrogen,mean_ell_ph,stdev_ell_ph,perc5_ell_ph,perc25_ell_ph,perc50_ell_ph,perc75_ell_ph,perc95_ell_ph,mean_ell_light,stdev_ell_light,perc5_ell_light,perc25_ell_light,perc50_ell_light,perc75_ell_light,perc95_ell_light,mean_ell_temperature,stdev_ell_temperature,perc5_ell_temperature,perc25_ell_temperature,perc50_ell_temperature,perc75_ell_temperature,perc95_ell_temperature,mean_ell_moisture,stdev_ell_moisture,perc5_ell_moisture,perc25_ell_moisture,perc50_ell_moisture,perc75_ell_moisture,perc95_ell_moisture,mean_ell_salt,stdev_ell_salt,perc5_ell_salt,perc25_ell_salt,perc50_ell_salt,perc75_ell_salt,perc95_ell_salt,mean_ell_mowing,stdev_ell_mowing,perc5_ell_mowing,perc25_ell_mowing,perc50_ell_mowing,perc75_ell_mowing,perc95_ell_mowing,mean_ww_c_n,stdev_ww_c_n,perc5_ww_c_n,perc25_ww_c_n,perc50_ww_c_n,perc75_ww_c_n,perc95_ww_c_n,mean_ww_ca,stdev_ww_ca,perc5_ww_ca,perc25_ww_ca,perc50_ww_ca,perc75_ww_ca,perc95_ww_ca,mean_ww_cl,stdev_ww_cl,perc5_ww_cl,perc25_ww_cl,perc50_ww_cl,perc75_ww_cl,perc95_ww_cl,mean_ww_ghg,stdev_ww_ghg,perc5_ww_ghg,perc25_ww_ghg,perc50_ww_ghg,perc75_ww_ghg,perc95_ww_ghg,mean_ww_glg,stdev_ww_glg,perc5_ww_glg,perc25_ww_glg,perc50_ww_glg,perc75_ww_glg,perc95_ww_glg,mean_ww_gvg,stdev_ww_gvg,perc5_ww_gvg,perc25_ww_gvg,perc50_ww_gvg,perc75_ww_gvg,perc95_ww_gvg,mean_ww_k,stdev_ww_k,perc5_ww_k,perc25_ww_k,perc50_ww_k,perc75_ww_k,perc95_ww_k,mean_ww_mg,stdev_ww_mg,perc5_ww_mg,perc25_ww_mg,perc50_ww_mg,perc75_ww_mg,perc95_ww_mg,mean_ww_nh4,stdev_ww_nh4,perc5_ww_nh4,perc25_ww_nh4,perc50_ww_nh4,perc75_ww_nh4,perc95_ww_nh4,mean_ww_no3,stdev_ww_no3,perc5_ww_no3,perc25_ww_no3,perc50_ww_no3,perc75_ww_no3,perc95_ww_no3,mean_ww_ntot,stdev_ww_ntot,perc5_ww_ntot,perc25_ww_ntot,perc50_ww_ntot,perc75_ww_ntot,perc95_ww_ntot,mean_ww_ph_h2o,stdev_ww_ph_h2o,perc5_ww_ph_h2o,perc25_ww_ph_h2o,perc50_ww_ph_h2o,perc75_ww_ph_h2o,perc95_ww_ph_h2o,mean_ww_po4,stdev_ww_po4,perc5_ww_po4,perc25_ww_po4,perc50_ww_po4,perc75_ww_po4,perc95_ww_po4,mean_ww_ptot,stdev_ww_ptot,perc5_ww_ptot,perc25_ww_ptot,perc50_ww_ptot,perc75_ww_ptot,perc95_ww_ptot,mean_ww_vocht,stdev_ww_vocht,perc5_ww_vocht,perc25_ww_vocht,perc50_ww_vocht,perc75_ww_vocht,perc95_ww_vocht,mean_div_shannon_all,stdev_div_shannon_all,perc5_div_shannon_all,perc25_div_shannon_all,perc50_div_shannon_all,perc75_div_shannon_all,perc95_div_shannon_all,mean_div_eveness_all,stdev_div_eveness_all,perc5_div_eveness_all,perc25_div_eveness_all,perc50_div_eveness_all,perc75_div_eveness_all,perc95_div_eveness_all,mean_div_simpson_all,stdev_div_simpson_all,perc5_div_simpson_all,perc25_div_simpson_all,perc50_div_simpson_all,perc75_div_simpson_all,perc95_div_simpson_all,mean_div_shannon_vasc,stdev_div_shannon_vasc,perc5_div_shannon_vasc,perc25_div_shannon_vasc,perc50_div_shannon_vasc,perc75_div_shannon_vasc,perc95_div_shannon_vasc,mean_div_eveness_vasc,stdev_div_eveness_vasc,perc5_div_eveness_vasc,perc25_div_eveness_vasc,perc50_div_eveness_vasc,perc75_div_eveness_vasc,perc95_div_eveness_vasc,mean_div_simpson_vasc,stdev_div_simpson_vasc,perc5_div_simpson_vasc,perc25_div_simpson_vasc,perc50_div_simpson_vasc,perc75_div_simpson_vasc,perc95_div_simpson_vasc,mean_phylogenetic_distance,stdev_phylogenetic_distance,perc5_phylogenetic_distance,perc25_phylogenetic_distance,perc50_phylogenetic_distance,perc75_phylogenetic_distance,perc95_phylogenetic_distance
r45AA04A,114,57,,,,,,,,,,,,,,,,,,,,3.212280701754388,0.3844751151751972,2.73,3.0,3.12,3.42,3.75,3.046315789473684,0.3453786713055655,2.56,2.8,3.05,3.18,3.67,5.411929824561401,0.3855797120877255,4.71,5.13,5.38,5.68,5.9,4.827168141592921,0.4217461993713243,4.1,4.44,4.82,5.18,5.43,5.421578947368422,0.43506317135050476,4.83,5.06,5.39,5.62,6.2,0.022105263157894735,0.06544682700698044,0.0,0.0,0.0,0.0,0.09,2.9428571428571435,0.574154487221194,2.25,2.5,2.75,3.29,4.3,24.08035087719298,1.02701400751014,22.41,23.17,24.15,24.94,25.64,89.60368421052631,63.22676278318088,27.75,41.33,76.59,112.94,227.79,16.928947368421053,8.349016263978486,13.51,14.11,14.84,15.67,25.02,103.32403508771922,10.239112122220387,83.35,96.74,102.6,107.62,120.77,188.542105263158,12.877197545292942,161.83,180.04,188.29,194.12,209.75,70.05017543859648,5.819812045927519,57.52,66.27,70.21,73.47,78.28,27.681403508771904,5.599897066283464,20.32,23.06,27.03,30.68,36.19,22.25912280701755,7.657797833031706,13.06,16.31,20.7,24.84,35.84,11.088947368421046,0.8636228957142388,9.51,10.54,11.14,11.67,12.35,4.112105263157894,1.9453333605468521,1.87,2.83,3.43,5.2,7.89,1787.0435087719295,206.0944137456477,1525.73,1605.6,1758.17,1916.99,2154.0,3.861929824561403,0.21397194927234703,3.5,3.68,3.88,4.02,4.16,0.2631578947368421,0.05364463625635501,0.21,0.22,0.24,0.3,0.37,415.24596491228056,72.57899956912406,315.97,363.6,402.85,447.13,534.01,8.626315789473686,2.5224171306464678,4.67,6.79,8.33,10.02,12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r45RG01,74,18,,,,,,,,,,,,,,,,,,,,4.510555555555559,0.6225750487756674,3.5,4.08,4.44,4.86,5.47,3.782777777777777,0.5798448600517168,2.89,3.33,3.71,4.17,4.65,5.638648648648648,0.387494810163413,5.04,5.37,5.62,5.89,6.24,4.9181081081081075,0.3841018856799681,4.13,4.6,5.0,5.25,5.4,5.558378378378379,0.5020256993180217,4.69,5.2,5.52,5.86,6.23,0.05675675675675676,0.09899642510755612,0.0,0.0,0.0,0.07,0.33,3.867916666666668,0.8320831246870047,2.5,3.2,4.12,4.4,4.75,22.428918918918914,1.467623163547992,19.33,21.33,22.71,23.83,24.31,213.60108108108108,166.36051914009224,54.29,82.71,150.43,272.57,576.21,26.477837837837836,14.770921238838618,15.33,16.14,18.41,35.02,55.25,93.1056756756757,12.780829508362936,65.51,85.94,94.55,104.66,108.9,174.51351351351357,17.65717834521366,136.23,163.76,177.68,187.98,195.58,70.31675675675673,5.995402316845194,63.02,65.16,69.9,74.22,77.43,39.33864864864865,14.18734040980124,24.45,27.96,34.37,45.23,72.27,36.739729729729724,19.45118206461339,17.14,21.22,28.77,43.83,72.85,10.33648648648649,0.7420468995749097,9.02,9.77,10.26,10.85,11.51,6.757567567567568,3.347837063268071,3.13,4.04,5.17,9.41,12.42,1940.9816216216213,398.7873508628141,1465.8,1615.01,1901.1,2091.67,2640.95,4.231621621621623,0.29929207928325574,3.82,3.99,4.18,4.39,4.82,0.3340540540540542,0.08942638402194467,0.22,0.25,0.32,0.41,0.46,447.83756756756753,60.929814714229174,368.72,391.4,450.9,494.39,525.81,10.413783783783781,4.1413370026438034,5.1,6.56,10.42,12.28,19.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r08BC03,428,29,,,,,,,,,,,,,,,,,,,,4.69083135391924,0.8718716169549341,3.3,4.0,4.73,5.22,6.29,5.402394014962595,0.7646923358076643,4.09,4.86,5.4,5.89,6.67,7.05049295774647,0.2682598963992464,6.62,6.88,7.04,7.2,7.5,5.0563390663390795,0.31647880408799295,4.5,4.91,5.12,5.27,5.45,8.458682352941178,0.6339405466977203,7.2,8.15,8.6,8.92,9.25,0.21487119437939123,0.1458341741840086,0.0,0.11,0.19,0.29,0.5,4.294134615384613,0.7339420179584027,3.29,3.67,4.21,4.85,5.53,15.099392523364475,0.9185276745509973,13.65,14.54,15.0,15.64,16.54,4168.138224299069,823.4160171508603,2718.91,3667.18,4144.04,4651.3,5601.85,309.5017289719627,91.54466938242642,146.72,245.02,318.17,374.23,463.07,-10.372126168224309,12.674918879829162,-26.39,-20.0,-12.44,-4.32,15.24,35.32306074766357,16.723542313187796,13.85,22.84,31.48,42.69,69.87,7.515887850467289,12.238089667006973,-8.06,-1.92,6.08,13.62,33.13,197.6748130841122,32.47691647108351,143.36,174.28,196.54,218.64,251.36,370.24768691588775,83.04036335311801,229.47,316.3,368.66,431.03,497.37,8.953200934579435,1.1476735048104871,6.98,8.16,8.98,9.76,10.78,9.81733644859814,3.6611980201673213,5.17,7.17,9.1,11.66,15.62,6944.098831775711,1165.3064223822691,4804.05,6328.83,6933.6,7692.14,8826.58,5.740280373831783,0.21033443749448616,5.43,5.59,5.71,5.91,6.03,0.5613785046728964,0.2937761190704271,0.3,0.38,0.48,0.63,0.98,895.8787616822425,157.42360825073706,621.63,795.61,897.42,1003.53,1152.98,45.414719626168214,4.553008470928178,35.82,43.39,46.02,48.33,51.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r35AA01C,81,41,,,,,,,,,,,,,,,,,,,,4.7951851851851846,1.1332256061122263,3.29,3.92,4.56,5.8,6.9,3.991486486486486,0.9921225981789675,2.96,3.15,3.67,4.57,5.88,6.97025,0.41846736730598233,6.18,6.64,7.0,7.18,7.73,5.218169014084507,0.3316085842139495,4.58,4.9,5.25,5.5,5.6,5.2609210526315815,0.7472989566494911,4.25,4.83,5.12,5.62,6.67,0.3197530864197532,0.22463674549980825,0.0,0.17,0.27,0.44,0.8,4.857910447761195,0.8299676981907778,3.5,4.38,4.7,5.08,6.25,18.444938271604943,2.2973141179828738,14.76,16.26,18.56,19.75,22.11,455.31395061728415,384.29923183868067,62.5,175.19,302.99,580.07,1270.59,70.41555555555556,63.38428759227516,12.72,17.18,54.37,102.83,197.46,74.61370370370368,19.262639681963297,37.01,56.48,72.47,86.96,102.25,147.11827160493826,25.355169477541907,101.41,124.47,145.65,166.97,183.46,59.03525,10.502938157368154,35.35,52.44,62.31,66.28,71.78,51.29839506172841,27.26024915227163,16.75,31.74,44.59,62.66,100.54,54.23382716049383,39.10320982587204,11.35,26.63,43.17,64.2,150.56,7.065185185185183,1.2041698242799674,4.83,5.95,7.16,7.74,8.79,5.023209876543211,3.2493793622632694,0.86,2.34,4.26,6.16,10.35,1785.8095061728393,762.5203814040292,702.7,1242.24,1550.8,2068.3,3148.05,5.016172839506175,0.5311844856364181,4.23,4.63,4.94,5.47,5.89,0.7680246913580245,0.2143000075069932,0.47,0.64,0.78,0.86,1.28,298.37950617283946,94.69524172150578,137.11,237.16,297.72,356.99,471.96,13.269012345679013,5.723150864223517,5.06,8.97,11.56,15.99,25.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r45RG07,7456,360,,,,,,,,,,,,,,,,,,,,3.3528432792584195,0.8099392605608263,2.0,2.76,3.36,3.92,4.67,3.137904901243582,0.4982063215891322,2.33,2.81,3.14,3.42,4.0,6.12136694526831,0.3908692532587284,5.47,5.89,6.12,6.38,6.75,5.10310210696919,0.6044690432587236,4.0,4.67,5.15,5.6,6.0,5.406315207081842,0.6106157011872198,4.5,5.0,5.33,5.8,6.5,0.06066820903647263,0.13493996482277962,0.0,0.0,0.0,0.0,0.36,3.4899077766700044,0.8997348764639325,2.33,2.67,3.4,4.12,5.12,23.9126354613733,1.2953547905576193,21.59,23.22,24.08,24.73,25.78,88.49778433476412,100.40349578729139,27.35,41.76,56.36,88.44,269.27,18.35273336909873,14.015785154210722,12.62,13.95,14.94,16.05,39.91,102.32179989270378,9.759754981944814,86.01,96.71,103.04,108.76,116.75,189.0719259656651,12.942865124740438,166.46,181.97,190.5,197.71,207.41,66.78066523605139,6.10450780746569,56.74,63.23,67.12,70.79,76.06,27.310136802575002,7.525196515660633,19.26,23.04,25.86,29.37,40.28,20.435529774678074,9.27319598204874,12.39,15.7,18.41,22.18,34.89,10.385853004291807,0.9592964617719685,8.74,9.81,10.41,11.06,11.85,2.6146512875536483,1.3644753415869257,0.93,1.72,2.37,3.22,5.08,1642.1249409871277,253.0997619469095,1247.74,1481.0,1640.2,1799.9,2000.87,3.910985783261774,0.2318096998021162,3.62,3.76,3.87,4.02,4.34,0.3088908261802496,0.11297273538091408,0.21,0.23,0.27,0.34,0.51,354.9298471030053,62.233906211376585,252.67,317.01,354.74,391.04,458.11,7.473809012875556,2.279478142926984,4.36,5.96,7.23,8.68,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r45AA01B,330,165,,,,,,,,,,,,,,,,,,,,4.824848484848479,0.49497059118099956,4.08,4.47,4.83,5.13,5.6,5.210607902735563,0.6536548600346895,4.21,4.75,5.18,5.65,6.33,6.157090909090912,0.2990348478361437,5.69,5.96,6.13,6.36,6.65,5.0975075987841905,0.2623482698321066,4.64,4.92,5.11,5.28,5.5,4.783738601823719,0.2903906891408306,4.33,4.58,4.75,5.0,5.25,0.09708206686930093,0.07591786443524944,0.0,0.05,0.08,0.12,0.25,3.8061919504644037,0.7936563817667606,2.29,3.25,3.92,4.38,4.94,17.359636363636373,1.411894017358753,15.02,16.28,17.26,18.36,19.87,350.794666666667,151.93678160832204,157.49,242.98,320.37,408.97,660.55,56.4992121212121,27.374439725560375,25.61,37.89,48.44,69.12,111.05,81.12478787878794,7.3783008299216695,67.81,76.24,81.09,86.06,93.25,150.22278787878793,10.232568656922904,132.31,143.17,150.84,156.47,168.19,70.32993939393938,4.38559701847401,61.57,68.46,70.65,72.86,76.47,46.13163636363636,9.564436100909173,31.68,40.0,44.96,52.14,63.05,47.46387878787879,11.818217195595846,30.28,39.11,45.62,54.04,72.05,7.305151515151512,0.8251924337999798,6.0,6.67,7.27,7.91,8.73,9.260181818181822,2.1385518954110974,5.51,7.95,9.38,10.6,12.79,1415.2562424242421,233.4981105921909,1044.18,1266.41,1384.66,1568.17,1844.43,5.3933939393939365,0.32650118932392225,4.85,5.15,5.4,5.61,5.97,0.6740606060606065,0.16350663769195944,0.41,0.55,0.67,0.81,0.95,272.7927878787879,47.15846815035808,203.94,237.57,267.01,307.35,346.37,12.161515151515152,2.2868227544732216,8.0,10.79,12.13,13.51,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r43RG02,1559,175,,,,,,,,,,,,,,,,,,,,3.229606353591168,0.7172929445121594,2.14,2.67,3.2,3.75,4.4,3.362943287867916,0.6447179678667784,2.33,3.0,3.33,3.71,4.5,6.364329032258063,0.48329797940718117,5.56,6.0,6.35,6.71,7.2,4.819944852941189,0.6640895170567636,3.67,4.38,4.8,5.33,6.0,6.901244083840443,0.8360828653501234,5.55,6.25,6.9,7.6,8.18,0.05176949152542385,0.0991888512977913,0.0,0.0,0.0,0.09,0.21,3.081307596513071,0.7193174492576639,2.25,2.5,3.0,3.5,4.5,22.762187299550984,1.6713363313031564,19.31,21.85,23.07,23.86,25.0,380.27558691468886,425.94994701571767,62.62,90.0,200.78,491.51,1375.11,44.46316869788324,49.33496426084398,13.66,15.62,17.77,53.88,156.23,69.06394483643389,23.357970492504453,22.08,54.09,74.11,87.41,99.05,145.15957023733174,31.27913681275682,81.98,124.96,152.74,169.72,184.46,43.27711994868502,15.230809748625502,14.23,32.09,45.83,55.61,63.12,45.39007697241823,19.641982517634716,25.73,31.27,38.85,54.32,84.57,67.68157152020531,53.945214609355055,20.33,25.99,46.63,94.21,179.23,10.881648492623464,0.9427621936627727,9.12,10.3,10.99,11.64,12.14,3.3375368826170613,2.192208539805095,0.83,1.73,2.89,4.23,7.67,2540.1647273893523,779.5622578541918,1611.43,1969.97,2338.18,3017.08,3991.79,4.24531751122515,0.3184622870038305,3.86,4.01,4.18,4.41,4.9,0.2813855035279034,0.0840866382992068,0.21,0.23,0.26,0.31,0.45,423.92347017318747,90.9088629098689,296.12,363.54,412.38,474.73,602.46,14.423867864015374,5.918004262918408,7.36,10.11,12.95,17.95,26.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r45DG01,2625,35,,,,,,,,,,,,,,,,,,,,3.8689076418190433,1.2065535522130457,2.12,3.0,3.71,4.67,6.0,3.7039095068632433,1.0292818202646492,2.33,3.0,3.5,4.29,5.72,5.913228476821195,0.5815749262289519,4.96,5.53,5.92,6.31,6.86,5.1173634945397675,0.5795103160473185,4.07,4.77,5.2,5.5,5.92,5.419869312681494,0.6207334389912583,4.55,5.0,5.33,5.78,6.5,0.07448829141370332,0.1479411262496761,0.0,0.0,0.0,0.08,0.41,4.362362685265916,1.333862081809583,2.33,3.33,4.33,5.44,6.52,22.9403276190476,2.932259997453469,16.28,21.74,23.98,24.9,25.96,199.25032000000004,278.6129166262456,22.11,38.66,64.94,239.97,853.14,30.384445714285718,32.77889402369423,13.16,14.54,15.64,24.77,107.9,98.02470476190473,18.550169598980172,59.59,87.93,102.93,110.81,121.44,180.88260190476248,25.768871218170627,126.35,167.2,188.44,199.06,211.02,70.99084571428577,8.205645506601272,56.07,65.91,71.42,76.67,82.52,36.41278857142862,20.60119708207135,19.05,23.55,27.83,41.71,85.9,29.76972952380957,22.54364861252361,11.63,15.56,19.97,35.58,78.01,10.282247619047652,1.6527430058683417,6.48,9.64,10.68,11.45,12.11,4.504220952380954,3.859656122449382,1.05,2.02,3.15,5.78,12.61,1819.1409752380932,368.2322243911298,1312.79,1599.46,1793.26,1957.64,2484.44,4.078369523809517,0.6035440163257612,3.49,3.67,3.84,4.31,5.5,0.3909447619047601,0.3104199656014276,0.2,0.22,0.26,0.39,1.14,405.81810666666615,71.60029390067412,293.17,360.3,405.03,448.4,516.5,8.97246857142859,4.952130662314079,3.29,5.41,7.53,11.42,18.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r07AA01C,14,7,,,,,,,,,,,,,,,,,,,,4.6085714285714285,0.41649656391752143,,,,,,4.957142857142857,0.22995119269185837,,,,,,6.637142857142856,0.330052562295085,,,,,,4.768571428571429,0.33211136563459176,,,,,,7.984285714285714,0.1608776947033404,,,,,,0.22714285714285712,0.13915195042155337,,,,,,5.523333333333333,0.23513589451397862,,,,,,14.450000000000001,0.42257712736425845,,,,,,3854.712857142857,399.5712637928052,,,,,,366.3657142857142,50.48562195803669,,,,,,-5.567142857142859,5.675107838587019,,,,,,38.035714285714285,8.36535689127292,,,,,,11.794285714285715,4.1908773617495045,,,,,,191.23285714285709,12.498547017594499,,,,,,298.0571428571428,38.26595454906384,,,,,,7.417142857142857,0.4910255822754856,,,,,,8.715714285714286,1.2946026102118546,,,,,,6882.187142857144,623.4232496859415,,,,,,5.949999999999998,0.10309496315810696,,,,,,0.6328571428571428,0.05202040416009462,,,,,,770.6185714285715,56.75711495450753,,,,,,41.48571428571429,1.6672034509737481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r27RG03,1303,85,,,,,,,,,,,,,,,,,,,,5.502458100558669,0.6840902225598438,4.33,5.0,5.57,6.0,6.6,7.132806859205767,0.3057720456877499,6.56,7.0,7.17,7.3,7.57,7.776206896551734,0.2653789658356398,7.33,7.6,7.78,8.0,8.2,5.800684551341364,0.32160428887610326,5.2,5.62,5.88,6.0,6.2,6.863624535315995,0.6391848784509813,5.75,6.43,6.88,7.33,7.86,4.7074578866768775,1.536913575507315,2.2,3.64,4.6,5.8,7.5,6.578166089965398,1.0308979658592492,4.8,5.83,6.67,7.17,8.6,10.826807367613188,0.6270105458415551,10.0,10.38,10.68,11.2,12.05,2490.942741433016,627.1108128131399,1527.75,2018.8,2478.05,2894.37,3598.93,1831.62515732924,341.83623688813475,1206.67,1637.75,1849.85,2062.98,2368.41,10.710736761320025,9.30328703052322,-5.13,5.01,10.51,16.79,25.71,66.28316193399833,9.370073415089593,50.93,60.87,66.14,72.0,82.09,21.524683153013914,8.452835646323084,6.48,16.41,22.05,26.9,35.02,268.55252336448575,48.11325687307822,179.7,239.37,275.73,300.96,343.18,268.43402627511523,47.14124335419272,183.15,238.21,272.03,299.4,343.51,4.497109737248843,0.7295970762526662,3.46,3.99,4.35,4.91,5.93,7.582882534775893,1.5224439770226532,5.14,6.6,7.58,8.58,9.89,2239.924106870228,841.4391378644114,1153.52,1693.02,2035.68,2665.79,3929.8,7.725068702290075,0.3344572267142234,7.14,7.5,7.74,7.96,8.25,2.0735625965996958,0.4581775237826429,1.27,1.72,2.09,2.41,2.79,370.7538390804589,72.97567346030867,252.94,324.11,366.41,418.34,490.38,32.24863392171914,4.125439967548743,24.21,30.11,33.32,35.04,37.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
