HOOFDGROEP,PARENT,CODE,WETNAAM,NEDNAAM,ISPARENT,NEDNAAM_ALT
,,01,Lemnetea minoris,Eendekroos-klasse,1,Eendekroos-klasse
,01,01A,Lemnetalia minoris,Eendekroos-orde,1,Eendekroos-orde
,01A,01AA,Lemnion minoris,Bultkroos-verbond,1,Bultkroos-verbond
1.0,01AA,01AA01,Wolffio-Lemnetum gibbae,Associatie van Bultkroos en Wortelloos kroos,1,"Bultkroos en Wortelloos kroos, Associatie van"
,01AA01,01AA01A,Wolffio-Lemnetum typicum,Ass. van Bultkroos en Wortelloos kroos; typische subass.,0,Ass. van Bultkroos en Wortelloos kroos; typische subass.
,01AA01,01AA01B,Wolffio-Lemnetum azolletosum filiculoides,Ass. van Bultkroos en Wortelloos kroos; subass. met Grote kroosvaren,0,Ass. van Bultkroos en Wortelloos kroos; subass. met Grote kroosvaren
1.0,01AA,01AA02,Lemno-Spirodeletum polyrhizae,Associatie van Veelwortelig kroos,1,"Veelwortelig kroos, Associatie van"
,01AA02,01AA02A,Lemno-Spirodeletum typicum,Ass. van Veelwortelig kroos; typische subass.,0,Ass. van Veelwortelig kroos; typische subass.
,01AA02,01AA02B,Lemno-Spirodeletum azolletosum carolinianae,Ass. van Veelwortelig kroos; subass. met Kleine kroosvaren,0,Ass. van Veelwortelig kroos; subass. met Kleine kroosvaren
,01A,01AB,Lemnion trisulcae,Puntkroos-verbond,1,Puntkroos-verbond
1.0,01AB,01AB01,Riccietum fluitantis,Watervorkjes-associatie,1,Watervorkjes-associatie
,01AB01,01AB01A,Riccietum fluitantis typicum,Watervorkjes-ass.; typische subass.,0,Watervorkjes-ass.; typische subass.
,01AB01,01AB01B,Riccietum fluitantis ricciocarpetosum,Watervorkjes-ass.; subass. met Kroosmos,0,Watervorkjes-ass.; subass. met Kroosmos
,01RG,01RG01,RG Lemna minor-[Lemnetea minoris],Rompgemeenschap van Klein kroos,0,Rompgemeenschap van Klein kroos
,01RG,01RG02,RG Lemna trisulca-[Lemnion trisulcae],Rompgemeenschap van Puntkroos,0,Rompgemeenschap van Puntkroos
,,02,Ruppietea,Ruppia-klasse,1,Ruppia-klasse
,02,02A,Zannichellio-Ruppietalia,Ruppia-orde,1,Ruppia-orde
,02A,02AA,Ruppion maritimae,Ruppia-verbond,1,Ruppia-verbond
1.0,02AA,02AA01,Ruppietum maritimae,Associatie van Snavelruppia,0,"Snavelruppia, Associatie van"
1.0,02AA,02AA02,Ruppietum cirrhosae,Associatie van Spiraalruppia,0,"Spiraalruppia, Associatie van"
,,03,Zosteretea,Zeegras-klasse,1,Zeegras-klasse
,03,03A,Zosteretalia,Zeegras-orde,1,Zeegras-orde
,03A,03AA,Zosterion,Zeegras-verbond,1,Zeegras-verbond
1.0,03AA,03AA01,Zosteretum noltii,Associatie van Klein zeegras,0,"Klein zeegras, Associatie van"
1.0,03AA,03AA02,Zosteretum marinae,Associatie van Groot zeegras,0,"Groot zeegras, Associatie van"
,,04,Charetea fragilis,Kranswieren-klasse,1,Kranswieren-klasse
,04,04A,Nitelletalia flexilis,Glanswier-orde,1,Glanswier-orde
,04A,04AA,Nitellion flexilis,Glanswier-verbond,1,Glanswier-verbond
1.0,04AA,04AA01,Nitelletum translucentis,Associatie van Doorschijnend glanswier,0,"Doorschijnend glanswier, Associatie van"
,04,04B,Charetalia hispidae,Kransblad-orde,1,Kransblad-orde
,04B,04BA,Charion fragilis,Verbond van Stekelharig kransblad,1,Verbond van Stekelharig kransblad
1.0,04BA,04BA01,Nitellopsidetum obtusae,Associatie van Sterkranswier,0,"Sterkranswier, Associatie van"
1.0,04BA,04BA02,Charetum hispidae,Associatie van Stekelharig kransblad,0,"Stekelharig kransblad, Associatie van"
1.0,04BA,04BA03,Charetum asperae,Associatie van Ruw kransblad,0,"Ruw kransblad, Associatie van"
,04B,04BB,Charion vulgaris,Verbond van Gewoon kransblad,1,Verbond van Gewoon kransblad
1.0,04BB,04BB01,Charetum vulgaris,Associatie van Gewoon kransblad,0,"Gewoon kransblad, Associatie van"
1.0,04BB,04BB02,Lemno-Nitelletum capillaris,Associatie van Kleinhoofdig glanswier,0,"Kleinhoofdig glanswier, Associatie van"
1.0,04BB,04BB03,Tolypelletum proliferae,Associatie van Groot boomglanswier,0,"Groot boomglanswier, Associatie van"
,04,04C,Lamprothamnietalia papulosi,Orde van Brakwater-kransblad,1,Orde van Brakwater-kransblad
,04C,04CA,Charion canescentis,Verbond van Brakwater-kransblad,1,Verbond van Brakwater-kransblad
1.0,04CA,04CA01,Charetum canescentis,Associatie van Brakwater-kransblad,0,"Brakwater-kransblad, Associatie van"
,04RG,04RG01,RG Chara globularis-[Charetea fragilis],Rompgemeenschap van Breekbaar kransblad,0,Rompgemeenschap van Breekbaar kransblad
,,05,Potametea,Fonteinkruiden-klasse,1,Fonteinkruiden-klasse
,05,05A,Zannichellietalia pedicellatae,Orde van Gesteelde zannichellia,1,Orde van Gesteelde zannichellia
,05A,05AA,Zannichellion pedicellatae,Verbond van Gesteelde zannichellia,1,Verbond van Gesteelde zannichellia
1.0,05AA,05AA01,Ceratophylletum submersi,Associatie van Fijn hoornblad,0,"Fijn hoornblad, Associatie van"
1.0,05AA,05AA02,Ranunculetum baudotii,Associatie van Zilte waterranonkel,0,"Zilte waterranonkel, Associatie van"
1.0,05AA,05AA03,Najadetum marinae,Associatie van Groot nimfkruid,1,"Groot nimfkruid, Associatie van"
