SPECIES_NR,WETNAAM,NEDNAAM,SYNONYM,VALID_NR,GROEP,GENUS_WET,GENUS_NED,FAM_NR
1,Acer campestre,Spaanse aak,0,1,1,Acer,Esdoorn,101.0
2,Acer pseudoplatanus,Gewone esdoorn,0,2,1,Acer,Esdoorn,101.0
3,Orchis anthropophora,Poppenorchis,0,3,1,Orchis,Orchis,35.0
4,Achillea millefolium,Gewoon duizendblad,0,4,1,Achillea,Duizendblad,136.0
5,Achillea ptarmica,Wilde bertram,0,5,1,Achillea,Duizendblad,136.0
6,Aconitum vulparia,Gele monnikskap,0,6,1,Aconitum,Monnikskap,50.0
7,Acorus calamus,Kalmoes,0,7,1,Acorus,Kalmoes,21.0
8,Actaea spicata,Christoffelkruid,0,8,1,Actaea,Christoffelkruid,50.0
10,Adoxa moschatellina,Muskuskruid,0,10,1,Adoxa,Muskuskruid,132.0
11,Aegopodium podagraria,Zevenblad,0,11,1,Aegopodium,Zevenblad,131.0
12,Aethusa cynapium,Hondspeterselie,0,12,1,Aethusa,Hondspeterselie,131.0
13,Agrimonia eupatoria,Gewone agrimonie,0,13,1,Agrimonia,Agrimonie,83.0
14,Agrimonia procera,Welriekende agrimonie,0,14,1,Agrimonia,Agrimonie,83.0
15,Agrostemma githago,Bolderik,0,15,1,Agrostemma,Bolderik,58.0
16,Agrostis canina/vinealis,Moeras-/Zandstruisgras,0,16,1,Agrostis,Struisgras,44.0
17,Agrostis gigantea,Hoog struisgras,0,17,1,Agrostis,Struisgras,44.0
18,Agrostis stolonifera,Fioringras,0,18,1,Agrostis,Struisgras,44.0
19,Agrostis capillaris,Gewoon struisgras,0,19,1,Agrostis,Struisgras,44.0
20,Aira caryophyllea,Zilverhaver,0,20,1,Aira,Dwerghaver,44.0
21,Aira praecox,Vroege haver,0,21,1,Aira,Dwerghaver,44.0
22,Ajuga chamaepitys,Akkerzenegroen,0,22,1,Ajuga,Zenegroen,123.0
24,Ajuga reptans,Kruipend zenegroen,0,24,1,Ajuga,Zenegroen,123.0
25,Alchemilla vulgaris s.l.,Vrouwenmantel (groep),0,25,1,Alchemilla,Vrouwenmantel,83.0
26,Alisma gramineum,Smalle waterweegbree,0,26,1,Alisma,Waterweegbree,25.0
27,Alisma lanceolatum,Slanke waterweegbree,0,27,1,Alisma,Waterweegbree,25.0
28,Alisma plantago-aquatica,Grote waterweegbree,0,28,1,Alisma,Waterweegbree,25.0
29,Alliaria petiolata,Look-zonder-look,0,29,1,Alliaria,Look-zonder-look,97.0
30,Allium carinatum,Berglook,0,30,1,Allium,Look,39.0
31,Allium oleraceum,Moeslook,0,31,1,Allium,Look,39.0
32,Allium schoenoprasum,Bieslook,0,32,1,Allium,Look,39.0
33,Allium scorodoprasum,Slangenlook,0,33,1,Allium,Look,39.0
34,Allium ursinum,Daslook,0,34,1,Allium,Look,39.0
35,Allium vineale,Kraailook,0,35,1,Allium,Look,39.0
36,Alnus glutinosa,Zwarte els,0,36,1,Alnus,Els,93.0
37,Alnus incana,Witte els,0,37,1,Alnus,Els,93.0
38,Alopecurus aequalis,Rosse vossenstaart,0,38,1,Alopecurus,Vossenstaart,44.0
39,Alopecurus bulbosus,Knolvossenstaart,0,39,1,Alopecurus,Vossenstaart,44.0
40,Alopecurus geniculatus,Geknikte vossenstaart,0,40,1,Alopecurus,Vossenstaart,44.0
41,Alopecurus myosuroides,Duist,0,41,1,Alopecurus,Vossenstaart,44.0
42,Alopecurus pratensis,Grote vossenstaart,0,42,1,Alopecurus,Vossenstaart,44.0
43,Althaea officinalis,Heemst,0,43,1,Althaea,Heemst,98.0
44,Alyssum alyssoides,Bleek schildzaad,0,44,1,Alyssum,Schildzaad,97.0
45,Amaranthus graecizans,Afrikaanse amarant,0,45,1,Amaranthus,Amarant,59.0
46,Amaranthus blitum,Kleine majer,0,46,1,Amaranthus,Amarant,59.0
47,Amaranthus retroflexus,Papegaaienkruid,0,47,1,Amaranthus,Amarant,59.0
48,Ambrosia artemisiifolia,Alsemambrosia,0,48,1,Ambrosia,Ambrosia,136.0
49,Calammophila baltica (x),Noordse helm,0,49,1,Calammophila,Helm,44.0
50,Ammophila arenaria,Helm,0,50,1,Ammophila,Helm,44.0
51,Anacamptis pyramidalis,Hondskruid,0,51,1,Anacamptis,Hondskruid,35.0
52,Anagallis arvensis s. arvensis,Rood guichelheil,0,52,1,Anagallis,Guichelheil,109.0
53,Anagallis tenella,Teer guichelheil,0,53,1,Anagallis,Guichelheil,109.0
54,Anchusa officinalis,Gewone ossentong,0,54,1,Anchusa,Ossentong,113.0
55,Andromeda polifolia,Lavendelhei,0,55,1,Andromeda,Lavendelhei,112.0
56,Anemone nemorosa,Bosanemoon,0,56,1,Anemone,Anemoon,50.0
57,Pulsatilla vulgaris,Wildemanskruid,0,57,1,Pulsatilla,Wildemanskruid,50.0
58,Anemone ranunculoides,Gele anemoon,0,58,1,Anemone,Anemoon,50.0
59,Angelica archangelica,Grote engelwortel,0,59,1,Angelica,Engelwortel,131.0
60,Angelica sylvestris,Gewone engelwortel,0,60,1,Angelica,Engelwortel,131.0
61,Antennaria dioica,Rozenkransje,0,61,1,Antennaria,Rozenkransje,136.0
62,Anthemis arvensis,Valse kamille,0,62,1,Anthemis,Schubkamille,136.0
63,Anthemis cotula,Stinkende kamille,0,63,1,Anthemis,Schubkamille,136.0
64,Anthemis tinctoria,Gele kamille,0,64,1,Anthemis,Schubkamille,136.0
65,Anthericum liliago,Grote graslelie,0,65,1,Anthericum,Graslelie,37.0
66,Anthoxanthum odoratum,Gewoon reukgras,0,66,1,Anthoxanthum,Reukgras,44.0
67,Anthoxanthum aristatum,Slofhak,0,67,1,Anthoxanthum,Reukgras,44.0
68,Anthriscus caucalis,Fijne kervel,0,68,1,Anthriscus,Kervel,131.0
69,Anthriscus cerefolium,Echte kervel,0,69,1,Anthriscus,Kervel,131.0
70,Anthriscus sylvestris,Fluitenkruid,0,70,1,Anthriscus,Kervel,131.0
71,Anthyllis vulneraria,Wondklaver,0,71,1,Anthyllis,Wondklaver,81.0
72,Misopates orontium,Akkerleeuwenbek,0,72,1,Misopates,Akkerleeuwenbek,127.0
73,Apera spica-venti,Grote windhalm,0,73,1,Apera,Windhalm,44.0
74,Aphanes arvensis,Grote leeuwenklauw,0,74,1,Aphanes,Leeuwenklauw,83.0
75,Aphanes australis,Kleine leeuwenklauw,0,75,1,Aphanes,Leeuwenklauw,83.0
76,Apium graveolens,Selderij,0,76,1,Apium,Moerasscherm,131.0
77,Apium inundatum,Ondergedoken moerasscherm,0,77,1,Apium,Moerasscherm,131.0
78,Apium nodiflorum,Groot moerasscherm,0,78,1,Apium,Moerasscherm,131.0
79,Apium repens,Kruipend moerasscherm,0,79,1,Apium,Moerasscherm,131.0
