species_nr,wetnaam,nednaam
1,Acer campestre,Spaanse aak
2,Acer pseudoplatanus,Gewone esdoorn
3,Aceras anthropophorum,Poppenorchis
4,Achillea millefolium,Gewoon duizendblad
5,Achillea ptarmica,Wilde bertram
7,Acorus calamus,Kalmoes
8,Actaea spicata,Christoffelkruid
10,Adoxa moschatellina,Muskuskruid
11,Aegopodium podagraria,Zevenblad
12,Aethusa cynapium,Hondspeterselie
13,Agrimonia eupatoria,Gewone agrimonie
14,Agrimonia procera,Welriekende agrimonie
15,Agrostemma githago,Bolderik
17,Agrostis gigantea,Hoog struisgras
18,Agrostis stolonifera,Fioringras
19,Agrostis capillaris,Gewoon struisgras
20,Aira caryophyllea,Zilverhaver
21,Aira praecox,Vroege haver
24,Ajuga reptans,Kruipend zenegroen
26,Alisma gramineum,Smalle waterweegbree
27,Alisma lanceolatum,Slanke waterweegbree
28,Alisma plantago-aquatica,Grote waterweegbree
29,Alliaria petiolata,Look-zonder-look
31,Allium oleraceum,Moeslook
33,Allium scorodoprasum,Slangenlook
34,Allium ursinum,Daslook
35,Allium vineale,Kraailook
36,Alnus glutinosa,Zwarte els
37,Alnus incana,Witte els
38,Alopecurus aequalis,Rosse vossenstaart
39,Alopecurus bulbosus,Knolvossenstaart
40,Alopecurus geniculatus,Geknikte vossenstaart
41,Alopecurus myosuroides,Duist
42,Alopecurus pratensis,Grote vossenstaart
43,Althaea officinalis,Echte heemst
44,Alyssum alyssoides,Bleek schildzaad
46,Amaranthus blitum,Kleine majer
47,Amaranthus retroflexus,Papegaaienkruid
48,Ambrosia artemisiifolia,Alsemambrosia
49,Calammophila baltica,Noordse helm
50,Ammophila arenaria,Helm
51,Anacamptis pyramidalis,Hondskruid
52,Anagallis arvensis s. arvensis,Rood guichelheil
53,Anagallis tenella,Teer guichelheil
54,Anchusa officinalis,Gewone ossentong
55,Andromeda polifolia,Lavendelhei
56,Anemone nemorosa,Bosanemoon
57,Pulsatilla vulgaris,Wildemanskruid
58,Anemone ranunculoides,Gele anemoon
59,Angelica archangelica,Grote engelwortel
60,Angelica sylvestris,Gewone engelwortel
61,Antennaria dioica,Rozenkransje
62,Anthemis arvensis,Valse kamille
