species_nr,syntaxon,status
1241,01,k
1395,01,k
724,01,k
723,01,k
723,01-a,z
640,01-b,z
722,01A,k
1241,01A1,c
1395,01A1,k
723,01A1,c
128,01A1,k
722,01A1,k
1241,01A2,k
723,01A2,c
127,01A2,k
1241,01B,c
724,01B,k
723,01B,c
640,01B,c
3468,01B,k
3478,01B,k
1241,01B1,c
724,01B1,k
723,01B1,c
640,01B1,c
3468,01B1,k
3478,01B1,k
3478,01B1a,d
724,01B1b,c
1107,02,k
1108,02,k
1108,02A,k
1107,02A1,k
1397,02A1,c
1108,02A2,k
1399,03,k
1398,03,k
1399,03A,k
1398,03A,k
1399,03A1,k
1398,03A2,k
2145,04,k
2145,04-a,z
2155,04A,k
2155,04A-a,z
2119,04A1,k
2144,04B,k
2195,04B,k
2160,04B1,k
2195,04B1,k
2146,04B2,k
2141,04B3,k
2147,04C,k
2147,04C1,k
1241,04C2,c
2154,04C2,k
2161,04C3,k
2110,04D,k
2142,04D,k
2143,04D,k
2163,04D,k
998,04D1,d
1964,04D1,d
1044,04D1,d
2110,04D1,k
2142,04D1,k
2143,04D1,k
2163,04D1,k
2110,04D1a,d
2143,04D1a,d
2163,04D1a,d
990,05,k
1002,05,k
995,05-a,z
990,05-b,z
441,05-c,z
299,05-d,z
184,05-e,z
851,05-f,z
640,05-g,z
182,05-h,z
299,05A,d
851,05A,d
998,05A,d
1397,05A,k
998,05A-a,y
1397,05A-a,y
723,05A1,c
300,05A1,k
1044,05A2,k
854,05A3,k
998,05A3a,c
1107,05A3a,d
1397,05A3a,d
1396,05A3a,d
866,05A3b,d
1327,05A3b,c
2750,05A3b,d
2160,05A3b,d
299,05B,d
441,05B,d
442,05B,d
851,05B,d
865,05B,k
866,05B,k
989,05B,d
992,05B,d
994,05B,k
995,05B,d
998,05B,d
1046,05B,d
852,05B,d
998,05B1,c
999,05B1,k
996,05B1,k
994,05B2,k
1001,05B2,k
994,05B2a,c
1001,05B2a,c
994,05B2b,c
865,05B3,k
866,05B3,k
867,05B4,k
299,05C,d
441,05C,d
442,05C,d
640,05C,k
851,05C,d
989,05C,d
992,05C,d
995,05C,d
998,05C,d
1046,05C,d
852,05C,d
724,05C1,c
640,05C1,c
1255,05C1,k
1327,05C2,k
299,05D,d
441,05D,d
442,05D,d
851,05D,d
989,05D,d
992,05D,d
995,05D,d
998,05D,d
1002,05D,k
1003,05D,k
1046,05D,d
1041,05D,k
1396,05D,k
852,05D,d
442,05D-a,y
1002,05D-a,y
1003,05D-b,z
1041,05D-c,z
987,05D1,k
442,05D2,c
991,05D2,k
1046,05D3,k
997,05D4,k
724,05D5,d
441,05D5,c
638,05D5,c
640,05D5,d
852,05D5,k
985,05D5,k
986,05D5,d
184,05E,k
441,05E,d
995,05E,d
1055,05E,k
986,05E,k
180,05E,k
1055,05E-a,z
184,05E1,c
638,05E1,c
184,05E2,c
1050,05E2,k
995,05E3,c
850,05E3,k
441,05E4,c
1049,05E4,k
180,05E4,c
2416,05E4,k
429,06,k
753,06,k
1000,06,k
2343,06,k
765,06,k
436,06,k
753,06-a,z
1000,06-b,z
2343,06-b,c
2343,06-c,c
436,06-c,z
3004,06-c,c
2343,06-d,z
866,06/a,z
2343,06/a,c
753,06A,c
667,06A,k
668,06A,k
754,06A,k
753,06A1,c
667,06A1,k
668,06A1,k
754,06A1,k
667,06A1a,c
668,06A1a,d
436,06A1b,c
2343,06A1c,c
2996,06A1c,d
3004,06A1c,c
2343,06A1d,c
754,06A1d,c
995,06B,d
993,06B,k
993,06B1,k
1324,06B2,d
2343,06B2,c
1230,06B2,k
239,06B2,d
1323,06B2,d
1048,06C,d
77,06C,k
641,06C,d
644,06C,k
1154,06C,k
1053,06C,k
939,06C1,k
2343,06C1,c
644,06C2,k
1154,06C2,k
2343,06C2,c
641,06C3,c
644,06C3,c
2343,06C3,c
436,06C3,k
399,06C3,k
813,06C4,c
1048,06C4,c
1156,06C4,d
673,06C4,d
261,06C4,c
266,06C4,d
429,06C4,c
641,06C4,c
753,06C4,c
1124,06C4,d
1135,06C4,c
435,06D,k
432,06D,k
430,06D,k
435,06D1,k
432,06D1,k
430,06D1,k
201,07,k
2566,07,k
201,07-a,z
469,07-b,z
455,07A,k
1247,07A,k
3431,07A,k
2962,07A,k
3525,07A,k
3431,07A-a,y
3347,07A-a,y
584,07A1,d
972,07A1,d
1048,07A1,d
1247,07A1,c
2427,07A1,k
2866,07A1,k
2427,07A1a,c
2866,07A1a,c
995,07A1b,d
1055,07A1b,d
2343,07A1b,d
1050,07A1b,d
18,07A1c,c
455,07A1c,c
1349,07A1c,c
5199,07A1c,d
1346,07A1c,d
675,07A1d,d
925,07A1d,d
1112,07A1d,d
2567,07A2,c
323,07A2,k
323,07A2a,c
463,07A2b,d
1215,07A2b,d
201,07A2b,c
2566,07A2b,c
322,07A2b,d
526,07A2b,d
1167,07A2b,d
2338,07A2b,d
2656,07A2b,d
28,08,k
585,08,k
844,08,k
930,08,k
933,08,k
1074,08,k
1099,08,k
1216,08,k
1229,08,k
1318,08,k
780,08,k
7,08,k
585,08-a,z
930,08-b,z
1074,08-c,z
1318,08-d,z
7,08-e,z
933,08-f,z
437,08-g,z
1229,08-h,z
584,08-i,z
933,08-j,c
1317,08-j,c
427,08-j,z
463,08-k,z
933,08/a,c
3023,08/a,z
78,08A,k
171,08A,k
584,08A,k
859,08A,d
869,08A,d
1215,08A,d
860,08A,k
1350,08A,k
1349,08A,k
1215,08A-a,z
868,08A-b,z
859,08A-c,z
673,08A-d,z
630,08A1,k
