"syntaxon","aantal_opnamen"
"01-a","9"
"01-b","72"
"01A1","64"
"01A2","34"
"01B1a","19"
"01B1b","16"
"02A1","28"
"02A2","21"
"03A1","56"
"03A2","19"
"04-a","22"
"04A-a","98"
"04A1","13"
"04B1","40"
"04B2","50"
"04B3","22"
"04C1","62"
"04C2","12"
"04C3","10"
"04D1a","10"
"04D1b","2"
"05-a","50"
"05-b","15"
"05-c","26"
"05-d","37"
"05-e","28"
"05-f","25"
"05-g","26"
"05-h","80"
"05A-a","64"
"05A1","53"
"05A2","102"
"05A3a","6"
"05A3b","40"
"05B1a","66"
"05B1b","19"
"05B2a","11"
"05B2b","35"
"05B3a","184"
"05B3b","16"
"05B4","70"
"05C1","245"
"05C2","67"
"05D-a","86"
"05D-b","104"
"05D-c","17"
"05D1","24"
"05D2","28"
"05D3","40"
"05D4","62"
"05D5a","24"
"05D5b","13"
"05E-a","13"
"05E1","95"
"05E2","51"
"05E3","29"
"05E4","18"
"06/a","12"
"06-a","27"
"06-b","29"
"06-c","4"
"06-d","6"
"06A1a","26"
"06A1b","30"
"06A1c","48"
"06A1d","20"
"06B1","36"
"06B2","35"
"06C1","67"
"06C2","109"
"06C3","166"
"06C4","59"
"06D1","69"
"07-a","14"
"07-b","9"
"07A-a","52"
"07A1a","8"
"07A1b","8"
"07A1c","9"
"07A1d","16"
"07A2a","19"
"07A2b","17"
"08/a","18"
"08-a","100"
"08-b","22"
"08-c","35"
"08-d","34"
"08-e","16"
"08-f","122"
"08-g","11"
"08-h","12"
"08-i","37"
"08-j","25"
"08-k","34"
"08A-a","28"
"08A-b","19"
"08A-c","17"
"08A-d","8"
"08A1","69"
"08A2","47"
"08A3","37"
"08A4","26"
"08A5a","40"
"08A5b","33"
"08B-b","14"
"08B1","56"
"08B2a","15"
"08B2b","43"
"08B2c","26"
"08B2d","27"
"08B2e","21"
"08B3a","49"
"08B3b","56"
"08B3c","22"
"08B3d","71"
"08C-a","280"
"08C-b","88"
"08C-c","44"
"08C-d","86"
"08C-e","34"
"08C-f","32"
"08C1a","33"
"08C1b","39"
"08C1c","40"
"08C1d","37"
"08C2a","119"
"08C2b","33"
"08C2c","42"
"08C3","49"
"08C4a","68"
"08C4b","40"
"08C5a","33"
"08C5b","71"
"08C5c","36"
"08C5d","31"
"08C6a","20"
"08C6b","10"
"08C6c","85"
"09/a","26"
"09/b","13"
"09/c","25"
