"species_nr","code","wetnaam","nednaam","aangevuld"
"6012","AGRO-SP","Agrostemma species","Bolderik (G)","0"
"15","AGROGIT","Agrostemma githago","Bolderik","0"
"6013","AGRS-SP","Agrostis species","Struisgras (G)","0"
"1544","AGRSCAN","Agrostis canina","Moerasstruisgras","0"
"16","AGRSC=V","Agrostis canina ag. (incl. A. vinealis)","Moeras- en Zandstruisgras","0"
"19","AGRSCAP","Agrostis capillaris","Gewoon struisgras","0"
"6564","ABIE-SP","Abies species","Zilverspar (G)","0"
"2201","ABIEALB","Abies alba","Gewone zilverspar","0"
"2203","ABIEGRA","Abies grandis","Reuzenzilverspar","0"
"2204","ABIENOR","Abies nordmanniana","Kaukasische zilverspar","0"
"5000","ABIEVEI","Abies veitchii","Japanse zilverspar","0"
"6626","ABUT-SP","Abutilon species","Abutilon (G)","0"
"1650","ABUTTHE","Abutilon theophrasti","Fluweelblad","0"
"6001","ACER-SP","Acer species","Esdoorn (G)","0"
"1","ACERCAM","Acer campestre","Spaanse aak","0"
"5001","ACERNEG","Acer negundo","Vederesdoorn","0"
"1850","ACERPLA","Acer platanoides","Noorse esdoorn","0"
"2","ACERPSE","Acer pseudoplatanus","Gewone esdoorn","0"
"6002","ACEA-SP","Aceras species","Poppenorchis (G)","0"
"3","ACEAANT","Aceras anthropophorum","Poppenorchis","0"
"6003","ACHI-SP","Achillea species","Duizendblad (G)","0"
"4","ACHIMIL","Achillea millefolium","Gewoon duizendblad","0"
"5","ACHIPTA","Achillea ptarmica","Wilde bertram","0"
"6004","ACON-SP","Aconitum species","Monnikskap (G)","0"
"6","ACONVUL","Aconitum vulparia","Gele monnikskap","0"
"6005","ACOR-SP","Acorus species","Kalmoes (G)","0"
"7","ACORCAL","Acorus calamus","Kalmoes","0"
"6006","ACTA-SP","Actaea species","Christoffelkruid (G)","0"
"8","ACTASPI","Actaea spicata","Christoffelkruid","0"
"6638","ADIA-SP","Adiantum species","Venushaar (G)","0"
"5002","ADIACAP","Adiantum capillus-veneris","Venushaar","0"
"6007","ADON-SP","Adonis species","Adonis (G)","0"
"1628","ADONAES","Adonis aestivalis","Zomeradonis","0"
"5003","ADONANN","Adonis annua","Herfstadonis","0"
"5004","ADONFLA","Adonis flammea","Kooltje-vuur","0"
"9","ADONVER","Adonis vernalis","Voorjaarsadonis","0"
"6008","ADOX-SP","Adoxa species","Muskuskruid (G)","0"
"10","ADOXMOS","Adoxa moschatellina","Muskuskruid","0"
"6009","AEGO-SP","Aegopodium species","Zevenblad (G)","0"
"11","AEGOPOD","Aegopodium podagraria","Zevenblad","0"
"6627","AESC-SP","Aesculus species","Paardenkastanje (G)","0"
"5005","AESC*CA","Aesculus carnea","Rode paardenkastanje","0"
"1851","AESCHIP","Aesculus hippocastanum","Witte paardenkastanje","0"
"6010","AETH-SP","Aethusa species","Hondspeterselie (G)","0"
"12","AETHCYN","Aethusa cynapium","Hondspeterselie","0"
"6011","AGRI-SP","Agrimonia species","Agrimonie (G)","0"
