syntaxon,parent,Wetenschappelijk,Nederlands,Wet_kort,Ned_kort,tabel
01,X,Lemnetea minoris,Eendekroos-klasse,Lemnetea minoris,Eendekroos-klasse,0
01-a,01,RG Lemna minor-[Lemnetea minoris],RG Klein kroos-[Eendekroos-klasse],RG Lemna minor-[Lemnetea minoris],RG Klein kroos-[Eendekroos-klasse],1
01-b,01,RG Hydrocharis morsus-ranae-[Lemnetea minoris/Potametea],RG Kikkerbeet-[Eendekroos-klasse/Fonteinkruid-klasse],RG Hydrocharis morsus-ranae-[Lemnetea/Potametea],RG Kikkerbeet-[Eendekroos-kl./Fonteinkruid-kl.],1
01A,01,Lemnion minoris,Bultkroos-verbond,Lemnion minoris,Bultkroos-verbond,0
01A1,01A,Wolffio-Lemnetum gibbae,Ass. v. Bultkroos en Wortelloos kroos,Wolffio-Lemnetum gibbae,Ass. v. Bultkroos en Wortelloos kroos,-1
01A2,01A,Lemno-Spirodeletum polyrhizae,Ass. v. Veelwortelig kroos,Lemno-Spirodeletum polyrhizae,Ass. v. Veelwortelig kroos,-1
01B,01,Lemnion trisulcae,Puntkroos-verbond,Lemnion trisulcae,Puntkroos-verbond,0
01B1,01B,Riccietum fluitantis,Watervorkjes-associatie,Riccietum fluitantis,Watervorkjes-ass.,0
01B1a,01B1,Riccietum fluitantis typicum,"Watervorkjes-associatie, typische subassociatie",Riccietum fluitantis typicum,"Watervorkjes-ass., typische subass.",1
01B1b,01B1,Riccietum fluitantis inops,"Watervorkjes-associatie, soortenarme subassociatie",Riccietum fluitantis inops,"Watervorkjes-ass., soortenarme subass.",1
02,X,Ruppietea,Ruppia-klasse,Ruppietea,Ruppia-klasse,0
02A,02,Ruppion maritimae,Ruppia-verbond,Ruppion maritimae,Ruppia-verbond,0
02A1,02A,Ruppietum maritimae,Ass. v. Snavelruppia,Ruppietum maritimae,Ass. v. Snavelruppia,-1
02A2,02A,Ruppietum cirrhosae,Ass. v. Spiraalruppia,Ruppietum cirrhosae,Ass. v. Spiraalruppia,-1
03,X,Zosteretea,Zeegras-klasse,Zosteretea,Zeegras-klasse,0
03A,03,Zosterion,Zeegras-verbond,Zosterion,Zeegras-verbond,0
03A1,03A,Zosteretum noltii,Ass. v. Klein zeegras,Zosteretum noltii,Ass. v. Klein zeegras,-1
03A2,03A,Zosteretum marinae,Ass. v. Groot zeegras,Zosteretum marinae,Ass. v. Groot zeegras,-1
04,X,Charetea fragilis,Kranswieren-klasse,Charetea fragilis,Kranswieren-klasse,0
04-a,04,RG Chara globularis-[Charetea fragilis],RG Breekbaar kransblad-[Kranswieren-klasse],RG Chara globularis-[Charetea fragilis],RG Breekbaar kransblad-[Kranswieren-klasse],1
04A,04,Nitellion flexilis,Glanswier-verbond,Nitellion flexilis,Glanswier-verbond,0
04A-a,04A,RG Nitella flexilis-[Nitellion flexilis],RG Buigzaam glanswier-[Glanswier-verbond],RG Nitella flexilis-[Nitellion flexilis],RG Buigzaam glanswier-[Glanswier-verbond],1
04A1,04A,Nitelletum translucentis,Ass. v. Doorschijnend glanswier,Nitelletum translucentis,Ass. v. Doorschijnend glanswier,-1
04B,04,Charion fragilis,Verbond van Stekelharig kransblad,Charion fragilis,Verb. v. Stekelharig kransblad,0
04B1,04B,Nitellopsidetum obtusae,Ass. v. Sterkranswier,Nitellopsidetum obtusae,Ass. v. Sterkranswier,-1
04B2,04B,Charetum hispidae,Ass. v. Stekelharig kransblad,Charetum hispidae,Ass. v. Stekelharig kransblad,-1
04B3,04B,Charetum asperae,Ass. v. Ruw kransblad,Charetum asperae,Ass. v. Ruw kransblad,-1
04C,04,Charion vulgaris,Verbond van Gewoon kransblad,Charion vulgaris,Verb. v. Gewoon kransblad,0
04C1,04C,Charetum vulgaris,Ass. v. Gewoon kransblad,Charetum vulgaris,Ass. v. Gewoon kransblad,-1
04C2,04C,Lemno-Nitelletum capillaris,Ass. v. Kleinhoofdig glanswier,Lemno-Nitelletum capillaris,Ass. v. Kleinhoofdig glanswier,-1
04C3,04C,Tolypelletum proliferae,Ass. v. Groot boomglanswier,Tolypelletum proliferae,Ass. v. Groot boomglanswier,-1
04D,04,Charion canescentis,Verbond van Brakwater-kransblad,Charion canescentis,Verb. v. Brakwater-kransblad,0
04D1,04D,Charetum canescentis,Ass. v. Brakwaterglansblad,Charetum canescentis,Ass. v. Brakwaterglansblad,0
04D1a,04D1,Charetum canescentis typicum,"Ass. v. Brakwaterglansblad, typische subassociatie",Charetum canescentis typicum,"Ass. v. Brakwaterglansblad, typische subass.",1
04D1b,04D1,Charetum canescentis inops,"Ass. v. Brakwaterglansblad, soortenarme subassociatie",Charetum canescentis inops,"Ass. v. Brakwaterglansblad, soortenarme subass.",1
05,X,Potametea,Fonteinkruid-klasse,Potametea,Fonteinkruid-klasse,0
05-a,05,RG Potamogeton natans-[Potametea],RG Drijvend fonteinkruid-[Fonteinkruid-klasse],RG Potamogeton natans-[Potametea],RG Drijvend fonteinkruid-[Fonteinkruid-klasse],1
05-b,05,RG Potamogeton crispus-[Potametea],RG Gekroesd fonteinkruid-[Fonteinkruid-klasse],RG Potamogeton crispus-[Potametea],RG Gekroesd fonteinkruid-[Fonteinkruid-klasse],1
