schaalID,code,percentage
00,99,100
01,r,1
01,+,2
01,1,3
01,2,13
01,3,38
01,4,68
01,5,88
02,r,1
02,+,2
02,1,3
02,2m,4
02,2a,8
02,2b,18
02,3,38
02,4,68
02,5,88
03,r1,1
03,p1,1
03,a1,1
03,m1,1
03,r2,2
03,p2,2
03,a2,2
03,m2,2
03,r4,4
03,p4,4
03,a4,4
03,m4,4
03,1,10
03,2,20
03,3,30
03,4,40
03,5-,47
03,5+,52
03,6,60
03,7,70
03,8,80
03,9,90
03,10,97
03,1-,7
03,1+,12
03,2-,17
03,2+,22
03,3-,27
03,3+,32
03,4-,37
03,4+,42
03,5,50
03,6-,57
03,6+,62
03,7-,67
03,7+,72
03,8-,77
03,8+,82
03,9-,87
03,9+,92
03,.1,1
03,.2,2
03,.4,4
04,1,1
04,x,1
04,+,1
05,1,1
05,2,2
05,3,3
05,4,4
05,5,8
05,6,18
05,7,38
05,8,68
05,9,88
06,r,1
06,+r,1
06,+p,1
06,+a,1
06,+b,2
06,1p,1
06,1a,2
06,1b,3
06,2m,4
06,2a,8
06,2b,18
06,3a,31
06,3b,43
06,4a,56
06,4b,68
06,5a,81
06,5b,93
07,r,1
07,p,2
07,a,3
07,m,4
07,01,10
07,02,20
07,03,30
07,04,40
07,05,50
07,06,60
07,07,70
07,08,80
07,09,90
07,10,97
07,1,10
07,2,20
07,3,30
07,4,40
07,5,50
07,6,60
07,7,70
07,8,80
07,9,90
08,1,1
08,2,2
08,3,3
08,4,8
08,5,18
08,6,38
08,7,63
08,8,83
08,9,95
09,r,1
09,p,2
09,a,3
09,m,4
09,1,10
09,2,20
09,3,30
09,4,40
09,5,50
09,6,60
09,7,70
09,8,80
09,9,90
09,10,97
10,p1,1
10,p2,1
10,p3,1
10,p4,1
10,a1,2
10,a2,2
10,a3,2
10,a4,2
10,b1,3
10,b2,3
10,b3,4
10,b4,4
10,2a,8
10,2b,18
10,3,38
10,4,68
10,5,88
11,d,60
11,cd,40
11,a,15
11,f,8
11,r,1
11,s,1
11,o,3
11,lf,3
11,la,9
11,ld,22
11,-,0
11,ro,1
11,lo,1
11,of,3
11,fa,9
11,c,30
11,ad,22
11,ac,18
11,fd,12
11,fc,10
11,od,6
11,oc,5
11,oa,4
11,vr,0
11,va,40
11,lc,15
11,+,1
12,r1,1
12,r2,2
12,r4,4
12,p1,1
12,p2,2
12,p4,4
12,a1,1
12,a2,2
12,a4,4
12,m1,1
12,m2,2
12,m4,4
12,10,10
12,7,7
12,12,12
12,20,20
12,30,30
12,40,40
12,50,50
12,60,60
12,70,70
12,80,80
12,90,90
12,97,97
13,01,10
13,02,20
13,03,30
13,04,40
13,05,50
13,06,60
13,07,70
13,08,80
13,09,90
13,10,99
14,1,20
14,2,40
14,3,60
14,4,80
14,5,99
15,1,1
15,2,2
15,3,3
15,4,7
15,5,18
15,6,30
15,7,42
15,8,63
15,9,83
15,10,95
16,1,3
16,2,9
16,3,18
16,4,38
16,5,75
17,+,1
17,1a,1
17,1p,3
17,1m,4
17,2-,10
17,2+,20
17,3,62
18,d1,44
18,d2,44
18,d3,44
18,d4,44
18,d5,44
18,c1,34
18,c2,34
18,c3,34
18,c4,34
18,c5,34
18,a1,24
18,a2,24
18,a3,24
18,a4,24
18,a5,24
18,f1,9
18,f2,9
18,f3,9
18,f4,9
18,f5,9
18,o1,3
18,o2,3
18,o3,3
18,o4,3
18,o5,3
18,r1,1
18,r2,1
18,r3,1
18,r4,1
18,r5,1
18,s1,1
18,s2,1
18,s3,1
18,s4,1
18,s5,1
19,1,10
19,2,30
19,3,50
19,4,70
19,5,90
20,r,1
20,p,2
20,a,3
20,m,4
20,2,8
20,3,18
20,4,38
20,5,68
20,6,88
21,1,5
21,2,25
21,3,50
21,4,95
22,01,1
22,02,1
22,03,1
22,04,1
22,05,3
22,06,5
22,07,10
22,08,20
22,09,40
22,10,60
22,11,80
23,1,3
23,2,8
23,3,13
23,4,20
23,5,38
23,6,63
23,7,88
24,+,2
24,1,3
24,2m,4
24,2,15
24,3,38
24,4,63
24,5,88
25,+,0
25,1a,2
25,1b,4
25,2a,9
25,2b,19
25,3,38
25,4,68
25,5,88
26,r,1
26,+,3
26,1,10
26,2,20
26,3,30
26,4,40
26,5,50
26,6,60
26,7,70
26,8,80
26,9,90
26,10,100
27,0,1
27,A,1
27,B,1
27,C,1
27,D,1
27,E,1
27,F,1
27,G,1
27,8,1
27,9,1
