SYNTAXON,SPECIES_NR,PRESENTIE,KARAKT_BED,TROUW
01-a,723,100.0,72.8,24.07
01-a,724,11.1,88.0,5.06
01-a,1397,11.1,2.0,0.59
01-a,184,22.2,10.0,1.64
01-a,442,11.1,2.0,0.11
01-a,2134,11.1,18.0,26.05
01-a,1241,22.2,8.0,1.44
01-a,6234,11.1,3.0,36.25
01-a,584,11.1,1.0,0.03
01-a,585,11.1,1.0,0.05
01-a,640,11.1,1.0,0.05
01-a,933,11.1,1.0,0.01
01-b,299,23.6,13.8,2.4
01-b,584,16.7,5.8,0.3
01-b,640,100.0,62.7,27.38
01-b,1241,37.5,3.8,1.16
01-b,6097,13.9,8.5,1.59
01-b,441,5.6,9.0,0.4
01-b,723,55.6,9.8,1.8
01-b,724,51.4,9.2,2.45
01-b,933,27.8,4.3,0.13
01-b,1395,11.1,3.4,7.11
01-b,28,20.8,2.9,0.92
01-b,184,4.2,3.3,0.1
01-b,585,30.6,4.7,0.6
01-b,722,26.4,6.9,2.63
01-b,813,5.6,2.5,0.06
01-b,987,1.4,31.0,1.01
01-b,991,5.6,3.3,0.5
01-b,1041,1.4,8.0,0.11
01-b,1327,13.9,21.8,3.57
01-b,326,6.9,1.8,0.19
01-b,1074,12.5,2.4,0.33
01-b,1317,4.2,2.7,0.08
01-b,2750,4.2,3.7,1.35
01-b,346,2.8,4.5,0.06
01-b,1215,11.1,7.1,0.57
01-b,463,12.5,3.7,0.23
01-b,1318,6.9,1.6,0.13
01-b,3478,6.9,1.4,0.53
01-b,442,19.4,12.5,1.18
01-b,868,11.1,5.8,0.79
01-b,990,4.2,6.7,0.36
01-b,1002,9.7,14.7,1.0
01-b,1114,18.1,8.6,2.6
01-b,1229,11.1,3.1,0.39
01-b,6291,11.1,19.3,4.66
01-b,128,6.9,1.0,0.26
01-b,997,2.8,4.5,0.76
01-b,865,5.6,6.0,0.42
01-b,3468,5.6,3.0,0.59
01-b,844,13.9,2.2,0.3
01-b,851,2.8,1.5,0.04
01-b,1216,2.8,2.0,0.29
01-b,2131,6.9,1.8,0.12
01-b,171,9.7,3.3,0.82
01-b,995,2.8,1.0,0.02
01-b,1914,2.8,1.0,0.07
01-b,6422,1.4,1.0,0.5
01-b,967,11.1,2.4,0.24
01-b,1533,11.1,7.0,3.08
01-b,6543,1.4,3.0,1.4
01-b,1003,4.2,4.7,0.65
01-b,6356,1.4,8.0,9.69
01-b,18,18.1,3.7,0.05
01-b,437,4.2,6.3,0.11
01-b,466,6.9,3.0,0.18
01-b,782,1.4,2.0,0.06
01-b,972,4.2,2.7,0.06
01-b,1055,1.4,3.0,0.06
01-b,27,1.4,3.0,1.01
01-b,994,2.8,6.0,0.27
01-b,1099,4.2,2.0,0.19
01-b,763,2.8,3.0,0.06
01-b,1056,5.6,3.0,0.03
01-b,1231,8.3,4.3,0.88
01-b,1333,2.8,1.0,0.03
01-b,2376,6.9,2.4,0.08
01-b,6449,1.4,1.0,0.34
01-b,212,2.8,2.5,0.03
01-b,259,2.8,8.0,0.15
01-b,665,6.9,2.0,0.15
01-b,6106,1.4,1.0,0.12
01-b,142,1.4,2.0,1.42
01-b,9500,5.6,10.8,0.35
01-b,673,2.8,20.5,0.29
01-b,679,1.4,3.0,0.06
01-b,680,2.8,5.5,0.04
01-b,1245,2.8,2.5,0.14
01-b,211,5.6,2.8,0.05
01-b,446,1.4,3.0,0.01
01-b,930,9.7,2.7,0.08
01-b,225,1.4,3.0,0.03
01-b,2153,1.4,3.0,0.18
01-b,783,1.4,2.0,0.07
01-b,869,2.8,2.0,0.37
01-b,1046,1.4,8.0,0.09
01-b,860,1.4,3.0,0.14
01-b,989,1.4,8.0,4.27
01-b,1218,1.4,2.0,0.02
01-b,1156,1.4,2.0,0.01
01-b,1964,1.4,2.0,0.07
01-b,2132,1.4,1.0,0.05
01-b,141,1.4,8.0,0.57
01-b,929,1.4,3.0,0.06
01-b,1311,1.4,1.0,0.06
01-b,780,1.4,2.0,0.03
01-b,785,1.4,2.0,0.02
01-b,841,1.4,2.0,0.12
01-b,1350,1.4,2.0,0.16
01A1,128,65.6,34.1,84.58
01A1,722,84.4,26.2,31.94
01A1,723,67.2,24.4,5.42
01A1,724,45.3,15.9,3.73
01A1,967,1.6,2.0,0.03
01A1,995,9.4,1.5,0.09
01A1,998,9.4,8.8,0.6
01A1,1107,1.6,2.0,0.08
01A1,1241,62.5,12.6,6.39
01A1,1397,3.1,20.5,1.69
01A1,2132,10.9,6.9,2.72
01A1,2147,1.6,13.0,0.25
01A1,989,3.1,2.5,2.95
01A1,299,56.3,12.3,5.1
01A1,1395,42.2,6.0,47.7
01A1,441,10.9,5.4,0.47
01A1,640,14.1,5.6,0.34
01A1,933,6.3,1.3,0.01
01A1,1046,12.5,3.0,0.29
01A1,865,6.3,5.0,0.4
01A1,994,1.6,3.0,0.08
01A1,3468,1.6,2.0,0.11
01A1,9500,4.7,2.7,0.07
01A1,2134,1.6,13.0,2.71
01A1,866,9.4,2.0,0.14
01A1,2135,3.1,20.5,0.59
01A1,1255,6.3,5.5,0.55
01A1,442,31.3,15.8,2.41
01A1,992,7.8,14.6,11.05
01A1,1327,4.7,3.3,0.18
01A1,182,7.8,2.4,0.2
01A1,851,1.6,2.0,0.03
01A1,184,1.6,3.0,0.04
01A1,584,10.9,1.6,0.05
01A1,1002,6.3,1.3,0.06
01A1,1964,3.1,1.0,0.07
01A1,585,6.3,1.5,0.04
01A1,1058,3.1,2.0,0.09
01A1,1076,1.6,2.0,0.17
01A1,1216,1.6,2.0,0.16
01A1,2383,1.6,1.0,0.08
01A1,171,3.1,2.0,0.16
01A1,274,1.6,8.0,0.33
01A1,1215,1.6,1.0,0.01
01A1,18,3.1,1.5,0.0
01A1,6097,3.1,3.0,0.12
01A1,78,3.1,2.0,0.09
01A1,869,1.6,1.0,0.11
01A1,2131,3.1,5.0,0.15
01A1,6449,1.6,1.0,0.39
01A1,6291,3.1,5.0,0.34
01A1,1074,1.6,3.0,0.05
01A1,859,3.1,2.0,0.06
01A1,990,1.6,1.0,0.02
01A1,40,3.1,7.0,0.13
01A2,640,32.4,5.0,0.71
01A2,723,88.2,17.4,5.07
01A2,998,2.9,2.0,0.04
01A2,1107,2.9,2.0,0.14
01A2,1241,100.0,55.1,44.68
01A2,1397,2.9,13.0,1.0
01A2,2132,2.9,2.0,0.21
01A2,299,26.5,26.1,5.09
01A2,442,20.6,16.7,1.68
01A2,722,29.4,12.8,5.44
01A2,995,5.9,16.5,0.6
01A2,1395,17.6,5.2,17.24
01A2,724,41.2,37.0,7.89
01A2,18,5.9,1.0,0.0
01A2,127,17.6,18.2,87.52
01A2,1215,5.9,1.5,0.06
01A2,441,2.9,1.0,0.02
01A2,866,2.9,1.0,0.02
01A2,989,2.9,1.0,1.1
01A2,992,2.9,1.0,0.28
01A2,1255,5.9,1.0,0.09
01A2,326,2.9,1.0,0.04
01A2,463,5.9,3.0,0.09
01A2,813,2.9,8.0,0.09
01A2,859,5.9,10.0,0.61
01A2,1216,2.9,1.0,0.15
01A2,1318,5.9,1.0,0.07
01A2,933,14.7,1.6,0.02
01A2,1046,2.9,8.0,0.18
01A2,9500,8.8,19.0,0.98
01A2,171,2.9,1.0,0.07
01A2,585,8.8,1.0,0.04
01A2,972,8.8,1.0,0.05
01A2,1003,5.9,5.5,1.07
01A2,1002,5.9,4.0,0.16
01A2,1114,5.9,1.0,0.1
01A2,2135,2.9,93.0,2.51
01A2,28,2.9,1.0,0.04
01A2,144,2.9,1.0,0.06
01A2,584,2.9,1.0,0.01
01A2,1099,2.9,1.0,0.07
01A2,1156,2.9,1.0,0.01
01A2,1229,5.9,1.5,0.1
01A2,1914,2.9,1.0,0.07
01A2,930,2.9,2.0,0.02
01B1a,18,15.8,2.7,0.03
01B1a,451,5.3,4.0,0.11
01B1a,490,5.3,4.0,0.14
01B1a,640,52.6,11.9,2.73
01B1a,723,89.5,13.5,3.99
01B1a,783,5.3,2.0,0.25
01B1a,929,5.3,4.0,0.32
01B1a,933,42.1,5.0,0.22
01B1a,1048,5.3,2.0,0.1
01B1a,1099,10.5,2.0,0.48
01B1a,1318,5.3,2.0,0.13
01B1a,3478,57.9,27.4,87.55
01B1a,441,15.8,4.0,0.5
01B1a,463,15.8,2.0,0.16
01B1a,584,10.5,10.0,0.32
01B1a,585,31.6,3.5,0.46
01B1a,1255,15.8,12.3,3.09
01B1a,3468,84.2,23.1,68.57
01B1a,171,10.5,2.0,0.54
01B1a,724,42.1,5.8,1.26
01B1a,844,21.1,2.8,0.57
01B1a,851,5.3,8.0,0.45
01B1a,1229,10.5,13.0,1.56
01B1a,1241,57.9,3.0,1.41
01B1a,128,5.3,2.0,0.4
01B1a,141,15.8,2.0,1.62
01B1a,244,10.5,2.0,0.08
01B1a,813,5.3,2.0,0.04
01B1a,868,5.3,18.0,1.17
01B1a,1215,10.5,5.5,0.42
01B1a,1395,10.5,2.0,3.96
01B1a,2153,5.3,4.0,0.91
01B1a,28,10.5,2.0,0.32
01B1a,205,15.8,7.3,0.74
01B1a,259,5.3,2.0,0.07
01B1a,638,5.3,2.0,0.09
01B1a,967,10.5,2.0,0.19
